Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0005088	8128	2287	2347	8387	1873	2499	4649	3136	3093	5117	2496	2729	3536.37	3626	3447	0.92	-0.121	-0.933	0.350742103287871	0.755878294817518	0.0078	0.0301	0.0117	0.0117	TRUE	NA
FBtr0006151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070000	11	0	7	0	3	9	6	0	9	0	4	10	4.89	5	5	0.526	-0.927	-0.359	0.719848979907483	NA	3.3395	15.0136	4.5908	4.5908	TRUE	NA
FBtr0070002	2	0	0	4	1	0	1	0	0	2	1	0	0.82	0	1	2.393	1.259	0.322	0.747828617868683	NA	0	89.5527	9.6737	9.6737	TRUE	NA
FBtr0070003	35	17	13	29	26	36	20	23	17	18	35	39	25.35	20	31	1.42	0.506	0.914	0.360573565845519	0.763469618277522	0.0397	2.9037	0.1792	0.1792	TRUE	NA
FBtr0070006	15	186	12	158	10	12	9	255	16	96	13	13	67.04	93	41	0.281	-1.829	-1.139	0.25482778423246	0.662002019958488	1.9389	1.1039	1.837	1.837	TRUE	NA
FBtr0070007	768	337	377	692	359	422	439	462	497	422	478	461	459.9	466	454	0.972	-0.041	-0.364	0.715604768761251	0.948976461209249	0	0.1689	0.0068	0.0068	TRUE	NA
FBtr0070008	297	120	143	352	162	202	170	165	188	215	216	221	195.67	174	217	1.247	0.318	1.85	0.0642810064704766	0.326482313831106	0	0.3844	0.016	0.016	TRUE	NA
FBtr0070025	1774	1088	922	1653	871	957	1015	1492	1215	1008	1160	1045	1155.88	1241	1071	0.871	-0.199	-1.23	0.218559728023766	0.619187420019859	0.0133	0.0729	0.0179	0.0179	TRUE	NA
FBtr0070026	490	264	278	483	306	368	280	362	366	295	408	402	352.13	336	368	1.089	0.123	1.027	0.304539399146974	0.714546527903007	0	0.2178	0.0075	0.0075	TRUE	NA
FBtr0070027	264	240	247	458	230	285	151	329	325	279	306	311	283.77	268	299	1.182	0.241	0.772	0.439943118180128	0.819853360860539	0.0466	0.268	0.0666	0.0666	TRUE	NA
FBtr0070028	60	22	26	191	14	11	34	30	34	117	19	12	40.99	33	49	0.912	-0.133	-0.154	0.877520491784597	0.988088208042414	0.3883	1.7995	0.4988	0.4988	TRUE	NA
FBtr0070029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070032	6	2	2	7	4	6	3	3	3	4	5	7	4.16	3	5	1.769	0.823	0.8	0.423927816338675	NA	0	17.6462	0.4993	0.4993	TRUE	NA
FBtr0070034	0	0	0	0	0	2	0	0	0	0	0	2	0.36	0	1	2.84	1.506	0.373	0.709511539607373	NA	10	201.5781	10	10	TRUE	NA
FBtr0070035	0	1	0	2	0	1	0	1	0	1	0	1	0.61	0	1	2.389	1.256	0.314	0.753796527943325	NA	0	119.5341	10	10	TRUE	NA
FBtr0070036	1522	809	977	1536	916	1215	870	1109	1287	937	1220	1327	1125.24	1089	1161	1.068	0.094	0.831	0.405740392726944	0.799641719481986	0.0037	0.0746	0.0084	0.0084	TRUE	NA
FBtr0070038	2841	942	875	3749	923	894	1625	1292	1153	2287	1230	976	1427.1	1357	1498	1.048	0.068	0.3	0.764452367552075	0.963254225555422	0.032	0.0608	0.036	0.036	TRUE	NA
FBtr0070040	0	25	6	0	11	34	0	34	8	0	15	37	15.66	14	17	1.203	0.266	0.184	0.854395053292537	0.984661648586299	0.6519	4.6943	1.1486	1.1486	TRUE	NA
FBtr0070041	430	290	356	478	300	360	246	398	469	292	400	393	366.19	371	362	0.999	-0.001	-0.007	0.994609054514373	0.999743153268226	0.0095	0.2098	0.0221	0.0221	TRUE	NA
FBtr0070042	633	79	29	524	55	125	362	108	38	320	73	137	173	169	177	1.214	0.28	0.464	0.642553680947871	0.926051846767356	0.2256	0.4335	0.2526	0.2526	TRUE	NA
FBtr0070043	85	0	0	0	0	0	49	0	0	0	0	0	8.1	16	0	0.273	-1.872	-0.473	0.63603397014352	NA	10	9.065	10	10	TRUE	NA
FBtr0070044	338	286	357	665	338	281	193	392	470	406	450	307	369.79	352	388	1.171	0.227	0.55	0.582521652882777	0.905127066863558	0.1074	0.2078	0.1203	0.1203	TRUE	NA
FBtr0070045	156	42	60	428	63	63	89	58	79	261	84	69	106.62	75	138	1.557	0.639	1.287	0.198177126018913	0.589599571921271	0.1154	0.6976	0.1646	0.1646	TRUE	NA
FBtr0070046	365	109	112	554	86	108	209	149	148	338	115	118	179.38	169	190	1.009	0.013	0.035	0.972095154838222	0.998315966540914	0.0558	0.4184	0.085	0.085	TRUE	NA
FBtr0070050	1	0	0	8	10	0	1	0	0	5	13	0	3.13	0	6	18.408	4.202	1.184	0.236264053504206	NA	4.8784	23.4562	8.0901	8.0901	TRUE	NA
FBtr0070051	1	4	0	0	0	0	1	5	0	0	0	0	1.01	2	0	0.106	-3.231	-0.816	0.414601252048101	NA	10	72.7006	10	10	TRUE	NA
FBtr0070052	963	476	709	1085	603	1037	551	653	934	662	803	1132	789.24	713	866	1.214	0.28	1.086	0.277362423089925	0.68831067854814	0.0385	0.1024	0.0465	0.0465	TRUE	NA
FBtr0070053	10	4	5	0	0	0	6	5	7	0	0	0	2.97	6	0	0.03	-5.08	-1.837	0.0662223816445447	NA	0	24.7522	4.425	4.425	TRUE	NA
FBtr0070054	1	4	0	0	0	0	1	5	0	0	0	0	1.01	2	0	0.106	-3.231	-0.816	0.414601252048101	NA	10	72.7006	10	10	TRUE	NA
FBtr0070055	218	109	190	270	151	257	125	149	250	165	201	281	195.18	175	216	1.244	0.314	0.894	0.371085875305423	0.772216678179161	0.055	0.3853	0.0838	0.0838	TRUE	NA
FBtr0070056	9	0	4	0	0	6	5	0	5	0	0	7	2.83	3	2	0.428	-1.225	-0.322	0.747127839835488	NA	7.8857	25.9505	10	10	TRUE	NA
FBtr0070057	3	0	2	6	1	4	2	0	3	4	1	4	2.29	2	3	2.156	1.108	0.65	0.515452989612196	NA	0	32.115	1.5575	1.5575	TRUE	NA
FBtr0070058	4962	3144	3078	3292	3102	3657	2838	4311	4056	2008	4133	3994	3556.59	3735	3378	0.874	-0.194	-1.387	0.165549853023919	0.548246244544814	0.0116	0.03	0.0139	0.0139	TRUE	NA
FBtr0070059	1686	41	55	1136	44	59	964	56	72	693	59	64	318.18	364	272	0.846	-0.242	-0.937	0.34882094057669	0.754306894954392	0.016	0.24	0.0363	0.0363	TRUE	NA
FBtr0070060	914	24	67	635	75	92	523	33	88	387	100	100	205.29	215	196	1.253	0.325	0.579	0.562337917943299	0.895240321403246	0.1919	0.3668	0.2159	0.2159	TRUE	NA
FBtr0070061	479	52	116	672	37	101	274	71	153	410	49	110	177.94	166	190	0.917	-0.124	-0.205	0.837274272806787	0.982154642103894	0.2295	0.4217	0.2543	0.2543	TRUE	NA
FBtr0070062	65	69	233	328	0	125	37	95	307	200	0	137	129.24	146	112	0.754	-0.407	-0.217	0.827906768629701	0.979104401095431	3.0785	0.5771	2.5216	2.5216	TRUE	NA
FBtr0070063	979	384	325	783	309	389	560	526	428	478	412	425	471.48	505	438	0.868	-0.204	-1.346	0.178146982583475	0.563593427052926	0.0041	0.165	0.0143	0.0143	TRUE	NA
FBtr0070064	288	148	173	228	175	232	165	203	228	139	233	253	203.54	199	208	1.022	0.031	0.145	0.884555183712902	0.988910826558344	0.0085	0.3699	0.0284	0.0284	TRUE	NA
FBtr0070065	205	0	0	307	35	0	117	0	0	187	47	0	58.53	39	78	74.737	6.224	2.064	0.0389762381900621	0.240595085618145	9.271	1.263	5.8942	5.8942	TRUE	NA
FBtr0070066	7	2	1	2	4	2	4	3	1	1	5	2	2.8	3	3	0.975	-0.037	-0.026	0.979235269264588	NA	0	26.2185	1.0567	1.0567	TRUE	NA
FBtr0070067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070069	0	0	1	1	0	1	0	0	1	1	0	1	0.5	0	1	1.736	0.796	0.197	0.843847267074569	NA	0	145.7905	10	10	TRUE	NA
FBtr0070070	99	56	47	201	66	82	57	77	62	123	88	90	82.57	65	100	1.543	0.626	1.761	0.0781784176227958	0.370300925657744	0.028	0.898	0.0775	0.0775	TRUE	NA
FBtr0070071	394	106	161	559	185	222	225	145	212	341	246	242	235.46	194	276	1.417	0.503	2.056	0.0398031804198576	0.243997573419036	0.0151	0.321	0.0383	0.0383	TRUE	NA
FBtr0070072	1	0	0	0	0	0	1	0	0	0	0	0	0.1	0	0	0.518	-0.948	-0.233	0.815759564653747	NA	0	769.7405	10	10	TRUE	NA
FBtr0070073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070075	0	0	0	1	0	0	0	0	0	1	0	0	0.1	0	0	1.77	0.824	0.202	0.839577149079826	NA	0	721.638	10	10	TRUE	NA
