Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0085094	76172	47334	56411	12346	9068	11999	43565	64899	74336	7532	12082	13103	35919.56	60933	10906	0.178	-2.489	-29.121	1.93348968349413e-186	3.36929912245687e-182	0.0044	0.0114	0.0052	0.0052	TRUE	NA
FBtr0072393	1239	627	684	186	115	135	709	860	901	113	153	147	480.63	823	138	0.167	-2.585	-19.793	3.44798323633309e-87	2.00281852921135e-83	1e-04	0.162	0.0081	0.0081	TRUE	NA
FBtr0084549	1859	712	814	58	32	52	1063	976	1073	35	43	57	541.15	1037	45	0.043	-4.552	-18.156	1.15669108726483e-73	4.0312997773354e-70	0.0179	0.145	0.0338	0.0338	TRUE	NA
FBtr0334328	2460	1331	1504	506	370	461	1407	1825	1982	309	493	503	1086.48	1738	435	0.246	-2.021	-16.97	1.35988935011939e-64	3.94957196919674e-61	0.004	0.0769	0.0088	0.0088	TRUE	NA
FBtr0335178	7691	4835	4873	3792	2370	2802	4399	6629	6421	2313	3158	3060	4330.05	5816	2844	0.493	-1.021	-15.934	3.70121210249675e-57	8.06216526226354e-54	0.0012	0.0263	0.0027	0.0027	TRUE	NA
FBtr0087533	7869	3404	3689	2862	1572	1930	4501	4667	4861	1746	2094	2108	3329.5	4676	1983	0.422	-1.244	-15.638	4.02495307353151e-55	7.79320358437335e-52	0	0.0314	0.0042	0.0042	TRUE	NA
FBtr0085713	61911	24674	25894	45187	19292	23884	35409	33830	34122	27567	25704	26082	30452.31	34454	26451	0.768	-0.381	-15.536	1.98342957399975e-54	3.45632437565197e-51	0	0.0118	4e-04	4e-04	TRUE	NA
FBtr0290019	5050	2243	2346	1445	528	737	2888	3075	3091	882	703	805	1907.49	3018	797	0.264	-1.921	-14.876	4.71786443784827e-50	7.47395506308581e-47	0.0073	0.0479	0.0112	0.0112	TRUE	NA
FBtr0089348	2882	973	837	536	140	186	1648	1334	1103	327	187	203	800.33	1362	239	0.173	-2.532	-14.517	9.51975243075728e-48	1.38242671548647e-44	0.0116	0.1011	0.0192	0.0192	TRUE	NA
FBtr0332260	1996	1044	1022	532	303	427	1142	1431	1347	325	404	466	852.38	1307	398	0.303	-1.722	-14.095	4.09624452714181e-45	4.75874380866488e-42	0.0027	0.0955	0.0091	0.0091	TRUE	NA
FBtr0072956	10999	5559	4658	882	710	971	6291	7622	6138	538	946	1060	3765.85	6684	848	0.122	-3.033	-13.048	6.50382553174272e-39	7.08347898225929e-36	0.0405	0.0289	0.0383	0.0383	TRUE	NA
FBtr0071835	507	264	223	38	19	23	290	362	294	23	25	25	169.9	315	24	0.078	-3.68	-13.032	8.00441949455249e-39	8.20500083012186e-36	0.0088	0.4412	0.0361	0.0361	TRUE	NA
FBtr0299968	1703	838	983	353	262	271	974	1149	1295	215	349	296	713.12	1139	287	0.248	-2.011	-12.674	8.21229617748257e-37	6.81464158041959e-34	0.0077	0.1123	0.016	0.016	TRUE	NA
FBtr0100457	1962	665	558	80	14	12	1122	912	735	49	19	13	474.96	923	27	0.026	-5.247	-12.668	8.85477047071264e-37	7.01378319193812e-34	0.0884	0.1639	0.1006	0.1006	TRUE	NA
FBtr0070985	1132	494	422	144	83	95	647	677	556	88	111	104	363.84	627	101	0.159	-2.652	-12.607	1.94127122237615e-36	1.47080836178812e-33	0.0117	0.2111	0.0261	0.0261	TRUE	NA
FBtr0342811	5861	5721	5158	0	0	0	3352	7844	6797	0	0	0	2998.85	5998	0	0	-14.962	-12.591	2.36750989885925e-36	1.71900947906339e-33	0.0104	0.0339	0.0176	0.0176	TRUE	NA
FBtr0078144	8921	4634	3303	0	0	0	5102	6354	4353	0	0	0	2634.73	5270	0	0	-14.863	-12.24	1.89927959168383e-34	1.27295562171855e-31	0.0836	0.0372	0.0626	0.0626	TRUE	NA
FBtr0290077	1151	707	616	152	114	96	658	969	812	93	152	105	464.81	813	117	0.143	-2.81	-12.158	5.22500256977087e-34	3.25181767074383e-31	0.0179	0.1672	0.0336	0.0336	TRUE	NA
FBtr0075753	6739	3084	2504	1318	784	832	3854	4228	3300	804	1045	909	2356.59	3794	919	0.241	-2.053	-11.806	3.64103935045082e-32	1.98277349127988e-29	0.0171	0.0405	0.0211	0.0211	TRUE	NA
