Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0089349	1306	472	528	4857	2406	2812	747	647	696	2963	3206	3071	1888.23	697	3080	4.409	2.141	20.706	3.07175475418549e-95	2.67641991732182e-91	0.0034	0.0482	0.0068	0.0068	TRUE	NA
FBtr0076772	753	283	298	2258	900	1161	431	388	393	1378	1199	1268	842.64	404	1282	3.176	1.667	18.195	5.61640432134052e-74	2.446786542592e-70	0	0.0965	0.0043	0.0043	TRUE	NA
FBtr0070822	25391	31918	34570	34299	48205	59964	14522	43762	45555	20924	64226	65482	42412.02	34613	50211	1.448	0.535	16.25	2.24213792128509e-59	5.58164220233056e-56	3e-04	0.0111	8e-04	8e-04	TRUE	NA
FBtr0081639	38448	21640	23860	53826	35730	43554	21990	29670	31442	32837	47605	47562	35184.34	27701	42668	1.535	0.619	14.262	3.76724114125283e-46	5.04984185595936e-43	7e-04	0.0115	0.0013	0.0013	TRUE	NA
FBtr0071249	12535	7296	7959	18210	11395	14188	7169	10003	10488	11109	15182	15494	11574.29	9220	13928	1.515	0.599	14.172	1.37286509197932e-45	1.70882479234512e-42	4e-04	0.0157	0.0012	0.0012	TRUE	NA
FBtr0077247	772	237	221	1883	614	767	442	325	291	1149	818	838	643.68	353	935	2.655	1.408	12.979	1.60067995844643e-38	1.54963605310486e-35	0	0.1234	0.0064	0.0064	TRUE	NA
FBtr0082452	8711	3031	2787	15740	5756	7281	4982	4156	3673	9602	7669	7951	6338.82	4270	8407	1.972	0.98	12.781	2.09865045359042e-37	1.92479383180351e-34	0.0025	0.021	0.004	0.004	TRUE	NA
FBtr0302291	5244	2205	2380	12863	6705	6706	2999	3023	3136	7847	8933	7323	5543.75	3053	8034	2.631	1.396	12.69	6.702648718458e-37	5.84001782839246e-34	0.0066	0.0226	0.0085	0.0085	TRUE	NA
FBtr0088136	46	21	36	836	370	476	26	29	47	510	493	520	270.89	34	508	15.193	3.925	12.515	6.16798508083652e-36	4.29933232074628e-33	0.0177	0.2802	0.0544	0.0544	TRUE	NA
FBtr0077909	6123	4521	4538	7901	6509	7888	3502	6199	5980	4820	8672	8614	6297.82	5227	7369	1.405	0.49	12.224	2.32652493272494e-34	1.5015564250987e-31	1e-04	0.021	0.001	0.001	TRUE	NA
FBtr0342810	502	139	84	5329	2542	2542	287	191	111	3251	3387	2776	1667.03	196	3138	16.724	4.064	12.108	9.52886638502911e-34	5.72586295260405e-31	0.0845	0.0534	0.078	0.078	TRUE	NA
FBtr0075699	608	147	216	2759	1132	1397	348	202	285	1683	1508	1526	925.14	278	1572	5.709	2.513	12.056	1.81033171580341e-33	1.05156134931968e-30	0.0193	0.0887	0.029	0.029	TRUE	NA
FBtr0089581	0	1	2	3604	1771	2098	0	1	3	2199	2360	2291	1142.22	1	2283	2280.295	11.155	11.926	8.6591150055242e-33	4.8675399382666e-30	0.1805	0.0736	0.1382	0.1382	TRUE	NA
FBtr0071849	223	132	155	674	452	526	128	181	204	411	602	574	350.1	171	529	3.112	1.638	11.416	3.46938948278539e-30	1.6339886791086e-27	0	0.219	0.0109	0.0109	TRUE	NA
FBtr0081353	16	2	2	745	153	206	9	3	3	454	204	225	149.64	5	294	60.806	5.926	11.4	4.20183450767665e-30	1.92687284554666e-27	0.03	0.4997	0.0834	0.0834	TRUE	NA
FBtr0073426	212	289	240	3085	2000	2605	121	396	316	1882	2665	2845	1370.87	278	2464	9.728	3.282	11.211	3.6086145927755e-29	1.61240302291553e-26	0.0589	0.0629	0.0596	0.0596	TRUE	NA
FBtr0332202	599	254	175	3314	1065	1463	343	348	231	2022	1419	1598	993.3	307	1680	5.442	2.444	11.002	3.72070994611861e-28	1.54374027431102e-25	0.0257	0.0833	0.0334	0.0334	TRUE	NA
FBtr0086029	35638	15490	16028	49515	26996	32892	20383	21238	21121	30207	35968	35919	27472.68	20914	34031	1.622	0.698	10.958	6.09600351417054e-28	2.47044086599851e-25	0.002	0.0121	0.0029	0.0029	TRUE	NA
