Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0000008	195	75	64	85	174	69	98	117	91	119	89	85	99.8	102	98	0.95	-0.074	-0.274	0.78406911093077	0.963291626480999	0.0132	0.0611	0.0421	0.0421	TRUE	NA
FBgn0000014	8	2	5	3	21	2	4	3	7	4	11	2	5.27	5	6	1.231	0.3	0.282	0.778282882064717	NA	0	0.8688	0.6087	0.6087	TRUE	NA
FBgn0000015	12	4	4	0	11	1	6	6	6	0	6	1	4.14	6	2	0.339	-1.561	-1.202	0.229191992087331	NA	0.3939	1.1026	0.8804	0.8804	TRUE	NA
FBgn0000017	285369	68062	49594	36619	276128	38709	143731	106368	70666	51217	140808	47445	93372.65	106922	79823	0.745	-0.426	-0.78	0.435572714886446	0.865091533382245	0.2146	0.0161	0.1081	0.2146	TRUE	NA
FBgn0000018	792	241	294	285	798	305	399	377	419	399	407	374	395.64	398	393	0.989	-0.017	-0.106	0.915923063146366	0.987851307153171	0	0.0274	0.0149	0.0149	TRUE	NA
FBgn0000022	2	0	0	0	0	0	1	0	0	0	0	0	0.17	0	0	0.408	-1.293	-0.32	0.748897039688011	NA	0	26.7972	10	10	TRUE	NA
FBgn0000024	14	4	3	9	20	6	7	6	4	13	10	7	7.95	6	10	1.733	0.793	0.983	0.325394807853959	NA	0	0.5814	0.316	0.316	TRUE	NA
FBgn0000028	25	7	4	8	41	4	13	11	6	11	21	5	11.04	10	12	1.313	0.393	0.482	0.630024722708612	0.924064869261678	0.318	0.4234	0.3792	0.3792	TRUE	NA
FBgn0000032	1919	611	641	674	1983	759	967	955	913	943	1011	930	953.16	945	961	1.018	0.026	0.2	0.841132441322177	0.974433831533912	0	0.0208	0.0109	0.0109	TRUE	NA
FBgn0000036	29	4	11	5	24	5	15	6	16	7	12	6	10.32	12	8	0.708	-0.498	-0.644	0.519871479348921	NA	0.1244	0.452	0.3252	0.3252	TRUE	NA
FBgn0000037	40	11	8	16	42	24	20	17	11	22	21	29	20.32	16	24	1.492	0.577	1.079	0.280618974103743	0.740291706748092	0	0.2373	0.1497	0.1497	TRUE	NA
FBgn0000038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000039	1	0	0	1	0	1	1	0	0	1	0	1	0.52	0	1	2.274	1.185	0.353	0.72394756457978	NA	0	8.6405	6.6634	6.6634	TRUE	NA
FBgn0000042	137948	46027	50826	73446	155693	83437	69480	71932	72422	102726	79394	102268	83036.73	71278	94796	1.328	0.409	2.848	0.00440206955855956	0.0553112495502469	0.0135	0.0161	0.0149	0.0149	TRUE	NA
FBgn0000043	44136	16052	17308	29782	65571	34401	22230	25086	24662	41655	33437	42165	31539.17	23993	39086	1.629	0.704	4.867	1.13105810247073e-06	4.67448571663273e-05	0.0139	0.0162	0.0151	0.0151	TRUE	NA
