Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14882	3935	4763	576	1492	640	7496	6150	6787	806	761	784	3797.15	6811	784	0.115	-3.116	-25.881	1.09477030211764e-147	9.23000841715386e-144	0.0028	0.0173	0.0097	0.0097	TRUE	NA
FBgn0039155	2490	751	893	37	81	54	1254	1174	1272	52	41	66	643.25	1233	53	0.042	-4.579	-21.986	3.88858526535246e-107	1.63923311860933e-103	0.0159	0.0231	0.0213	0.0213	TRUE	NA
FBgn0029167	10401	3816	3822	937	2347	924	5239	5964	5446	1311	1197	1133	3381.36	5550	1214	0.218	-2.194	-16.872	7.28036771518823e-64	1.5345195051688e-60	0.0059	0.0174	0.0117	0.0117	TRUE	NA
FBgn0039827	767	320	331	14	46	28	386	500	472	20	23	34	239.24	453	26	0.055	-4.177	-16.434	1.09234385674618e-60	1.84191021124541e-57	0.0052	0.0349	0.0259	0.0259	TRUE	NA
FBgn0035085	1895	671	787	133	314	150	954	1049	1121	186	160	184	609.08	1041	177	0.169	-2.568	-15.697	1.58971125360536e-55	2.23380926319113e-52	0.0065	0.0235	0.0158	0.0158	TRUE	NA
FBgn0029896	1627	531	501	100	302	116	819	830	714	140	154	142	466.54	788	145	0.185	-2.431	-14.413	4.27455216700225e-47	5.14839275999943e-44	0.0046	0.0257	0.0163	0.0163	TRUE	NA
FBgn0034897	2877	964	982	274	725	263	1449	1507	1399	383	370	322	905.02	1452	358	0.247	-2.016	-14.225	6.4503088051312e-46	6.79781919200764e-43	0.0022	0.021	0.0126	0.0126	TRUE	NA
FBgn0034736	712	282	257	25	51	28	359	441	366	35	26	34	210.14	389	32	0.08	-3.652	-14.195	9.82104475407769e-46	9.200136480181e-43	0.0182	0.0375	0.0303	0.0303	TRUE	NA
FBgn0023479	9584	3082	2984	1145	3053	1175	4827	4817	4252	1601	1557	1440	3082.35	4632	1533	0.331	-1.595	-13.173	1.2527692787385e-39	9.60190708094932e-37	0.0036	0.0175	0.0101	0.0101	TRUE	NA
FBgn0038832	853	252	289	52	129	65	430	394	412	73	66	80	242.24	412	73	0.175	-2.514	-12.567	3.19463498409229e-36	2.24449729590684e-33	0	0.0346	0.0205	0.0205	TRUE	NA
FBgn0036821	1441	498	457	112	382	147	726	778	651	157	195	180	447.81	718	177	0.247	-2.017	-11.533	8.9871767014132e-31	5.82852975150882e-28	0.0083	0.0261	0.0183	0.0183	TRUE	NA
FBgn0264753	351	131	146	11	42	19	177	205	208	15	21	23	108.27	197	20	0.102	-3.299	-11.163	6.18556736922486e-29	3.25940740562093e-26	0.0024	0.0576	0.0356	0.0356	TRUE	NA
FBgn0036985	6756	1661	1732	769	1965	825	3403	2596	2468	1076	1002	1011	1925.88	2822	1030	0.368	-1.441	-10.824	2.63926578931588e-27	1.23620277054012e-24	0.0056	0.0184	0.0121	0.0121	TRUE	NA
FBgn0027279	8234	2595	2639	1242	3505	1379	4147	4056	3760	1737	1787	1690	2862.95	3988	1738	0.436	-1.197	-10.438	1.66292721072714e-25	7.37902069138977e-23	0.0019	0.0176	0.009	0.009	TRUE	NA
FBgn0026562	102439	47109	59862	10108	18039	12172	51595	73623	85297	14138	9199	14919	41461.69	70172	12752	0.185	-2.438	-10.386	2.85662114777814e-25	1.20420864484587e-22	0.0787	0.0162	0.0397	0.0397	TRUE	NA
FBgn0037754	871	233	223	54	170	61	439	364	318	76	87	75	226.26	374	79	0.215	-2.216	-10.129	4.10059054914641e-24	1.64628947237397e-21	0.0136	0.0359	0.0266	0.0266	TRUE	NA
FBgn0000406	787	261	385	60	167	97	396	408	549	84	85	119	273.47	451	96	0.211	-2.248	-9.873	5.42500556727323e-23	1.94276023612039e-20	0.0278	0.0325	0.0306	0.0306	TRUE	NA
FBgn0040091	2714	899	1211	388	1002	416	1367	1405	1726	543	511	510	1010.16	1499	521	0.348	-1.523	-9.872	5.53033396594583e-23	1.94276023612039e-20	0.0104	0.0205	0.0158	0.0158	TRUE	NA
FBgn0030041	288	93	117	10	41	15	145	145	167	14	21	18	85.06	152	18	0.118	-3.08	-9.54	1.42533590044837e-21	4.45074332469637e-19	0	0.0689	0.0442	0.0442	TRUE	NA
