Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0025111	705	282	289	2307	5121	2688	355	441	412	3227	2611	3295	1723.39	403	3044	7.604	2.927	17.618	1.787753741765e-69	5.02418393227357e-66	0.0178	0.0187	0.0183	0.0183	TRUE	NA
FBgn0000071	204	72	84	477	1130	585	103	113	120	667	576	717	382.56	112	653	5.878	2.555	13.357	1.07643984063568e-40	9.07546429639939e-38	0.0114	0.0278	0.0205	0.0205	TRUE	NA
FBgn0035189	123	48	34	381	665	334	62	75	48	533	339	409	244.46	62	427	6.924	2.792	11.25	2.30956074193844e-29	1.39085047252021e-26	0.0321	0.0345	0.0336	0.0336	TRUE	NA
FBgn0283437	7097	2315	2578	7581	17634	7047	3575	3618	3673	10603	8992	8637	6516.45	3622	9411	2.59	1.373	11.235	2.73844032932715e-29	1.53918602777048e-26	0.0048	0.0168	0.0105	0.0105	TRUE	NA
FBgn0001226	1493	470	654	1692	4578	2076	752	735	932	2367	2334	2545	1610.66	806	2415	2.999	1.584	10.858	1.83087555715323e-27	9.08006577785817e-25	0.009	0.0189	0.0144	0.0144	TRUE	NA
FBgn0051092	124	39	37	214	514	245	62	61	53	299	262	300	172.97	59	287	4.883	2.288	10.119	4.53075543537063e-24	1.73630904889136e-21	0	0.0421	0.0254	0.0254	TRUE	NA
FBgn0262733	382	113	97	473	1503	478	192	177	138	662	766	586	420.18	169	671	3.979	1.992	9.794	1.18954330829902e-22	4.01161585290761e-20	0.024	0.0268	0.0256	0.0256	TRUE	NA
FBgn0011260	170	50	53	243	818	257	86	78	76	340	417	315	218.55	80	357	4.467	2.159	9.55	1.29416352960674e-21	4.19657412235169e-19	0.0177	0.0366	0.0283	0.0283	TRUE	NA
FBgn0003748	1510	449	496	1141	3127	1242	761	702	707	1596	1595	1522	1146.96	723	1571	2.173	1.12	9.111	8.19320122793007e-20	2.22828643718318e-17	0	0.02	0.0098	0.0098	TRUE	NA
FBgn0037290	28	10	12	92	309	104	14	16	17	129	158	127	76.76	16	138	8.893	3.153	9.065	1.24968685307946e-19	3.29253433072279e-17	0	0.0746	0.0486	0.0486	TRUE	NA
FBgn0261673	24	13	8	91	263	101	12	20	11	127	134	124	71.5	14	128	9.07	3.181	8.73	2.54736168621725e-18	5.80454226391829e-16	0	0.079	0.0535	0.0535	TRUE	NA
FBgn0029002	2372	620	788	1748	5540	2099	1195	969	1123	2445	2825	2573	1854.85	1096	2614	2.386	1.255	8.615	7.02199736285364e-18	1.51801178887741e-15	0.0102	0.0185	0.0146	0.0146	TRUE	NA
FBgn0032405	61	19	18	106	292	129	31	30	26	148	149	158	90.22	29	152	5.249	2.392	8.213	2.16486951451272e-16	4.05600330596817e-14	0	0.0659	0.0385	0.0385	TRUE	NA
FBgn0001224	632	187	292	636	1741	858	318	292	416	890	888	1052	642.6	342	943	2.752	1.461	7.961	1.70494527745626e-15	2.93354972127218e-13	0.0216	0.0231	0.022	0.022	TRUE	NA
FBgn0033367	20102	6412	6907	21575	37030	20189	10125	10021	9842	30176	18883	24745	17298.61	9996	24601	2.432	1.282	7.868	3.58947684991778e-15	5.93389790620722e-13	0.0224	0.0163	0.019	0.019	TRUE	NA
FBgn0041087	1577	518	624	1331	3169	1578	794	810	889	1862	1616	1934	1317.45	831	1804	2.171	1.118	7.802	6.11749668212395e-15	9.551224912405e-13	0.0079	0.0195	0.0138	0.0138	TRUE	NA
FBgn0034718	644	214	246	554	1373	657	324	334	351	775	700	805	548.27	336	760	2.259	1.176	7.664	1.80375025269791e-14	2.7649851600902e-12	0.004	0.0243	0.0146	0.0146	TRUE	NA
FBgn0010395	1151	428	409	923	3186	1046	580	669	583	1291	1625	1282	1004.85	611	1399	2.293	1.197	7.605	2.85397658668894e-14	4.22138186006569e-12	0.0128	0.0205	0.0165	0.0165	TRUE	NA
FBgn0003137	6420	2268	2192	4907	11300	5052	3234	3544	3123	6863	5762	6192	4786.51	3300	6272	1.897	0.924	7.194	6.30230231426132e-13	8.30229856430269e-11	0.0064	0.017	0.0116	0.0116	TRUE	NA
FBgn0038149	1318	442	537	1035	2644	1378	664	691	765	1448	1348	1689	1100.77	707	1495	2.115	1.081	7.154	8.40692810610999e-13	1.0904432440402e-10	0.01	0.0202	0.0153	0.0153	TRUE	NA
FBgn0024491	1782	544	599	1157	3852	1357	898	850	854	1618	1964	1663	1307.83	867	1748	2.014	1.01	7.108	1.17714391621085e-12	1.50371217538995e-10	0.0075	0.0195	0.0136	0.0136	TRUE	NA
FBgn0031327	871	347	406	823	2096	902	439	542	579	1151	1069	1106	814.17	520	1109	2.149	1.104	7.052	1.76480545617129e-12	2.22075743298211e-10	0.0097	0.0216	0.0161	0.0161	TRUE	NA
FBgn0040271	1596	520	560	1144	3239	1146	804	813	798	1600	1652	1405	1178.47	805	1552	1.931	0.949	7.039	1.94061333669161e-12	2.40607515318338e-10	0.0044	0.0199	0.012	0.012	TRUE	NA
FBgn0033113	548	177	233	496	1221	531	276	277	332	694	623	651	475.31	295	656	2.228	1.155	7.01	2.37650555485404e-12	2.90381425115571e-10	0.0055	0.0255	0.0168	0.0168	TRUE	NA
FBgn0032598	451	135	163	374	913	393	227	211	232	523	466	482	356.79	223	490	2.193	1.133	6.991	2.72770866056871e-12	3.28533024532211e-10	0	0.0287	0.0153	0.0153	TRUE	NA
FBgn0001225	428	158	210	440	1100	601	216	247	299	615	561	737	445.78	254	638	2.524	1.336	6.938	3.98131752556912e-12	4.59814904905113e-10	0.0204	0.0262	0.0236	0.0236	TRUE	NA
FBgn0265276	197	54	46	188	617	196	99	84	66	263	315	240	177.83	83	273	3.29	1.718	6.868	6.504989050269e-12	7.31247502437572e-10	0.0288	0.0414	0.0363	0.0363	TRUE	NA
FBgn0264302	857	240	242	557	1549	616	432	375	345	779	790	755	579.25	384	775	2.022	1.016	6.685	2.3101730227507e-11	2.46545174111534e-09	0	0.0238	0.0144	0.0144	TRUE	NA
FBgn0260011	48	19	35	133	264	149	24	30	50	186	135	183	101.17	35	168	4.999	2.322	6.643	3.0809643693798e-11	3.20686550595569e-09	0.0823	0.0605	0.0683	0.0683	TRUE	NA
FBgn0038528	175	65	67	154	563	205	88	102	95	215	287	251	173.16	95	251	2.633	1.396	6.589	4.42173772234861e-11	4.3858436161319e-09	0.0031	0.042	0.0244	0.0244	TRUE	NA
FBgn0266525	2352	755	791	1406	3952	1581	1185	1180	1127	1967	2015	1938	1568.54	1164	1973	1.696	0.762	6.543	6.01639393176165e-11	5.83036979754971e-09	0	0.0189	0.009	0.009	TRUE	NA
FBgn0051195	1455	442	474	891	2337	1006	733	691	675	1246	1192	1233	961.66	700	1224	1.748	0.806	6.486	8.78846722376377e-11	8.32534462511824e-09	0	0.0207	0.0099	0.0099	TRUE	NA
FBgn0035968	360	122	156	286	836	366	181	191	222	400	426	449	311.53	198	425	2.146	1.102	6.438	1.20872954897017e-10	1.13231098081861e-08	0	0.0305	0.017	0.017	TRUE	NA
FBgn0051642	77	43	27	156	331	144	39	67	38	218	169	176	117.99	48	188	3.977	1.992	6.431	1.27007989743692e-10	1.16391778427073e-08	0.0544	0.0542	0.0543	0.0543	TRUE	NA
FBgn0261284	32	11	14	60	166	92	16	17	20	84	85	113	55.76	18	94	5.244	2.391	6.431	1.26549209959646e-10	1.16391778427073e-08	0	0.0967	0.063	0.063	TRUE	NA
FBgn0037153	161	47	39	151	502	159	81	73	56	211	256	195	145.36	70	221	3.154	1.657	6.334	2.38497152686091e-10	2.09455155655878e-08	0.0265	0.047	0.0388	0.0388	TRUE	NA
FBgn0034885	135	72	56	198	437	243	68	113	80	277	223	298	176.32	87	266	3.116	1.64	6.19	6.00710116340719e-10	4.91707474841611e-08	0.0426	0.0416	0.042	0.042	TRUE	NA
FBgn0031150	1200	315	321	753	2871	909	604	492	457	1053	1464	1114	864.24	518	1210	2.339	1.226	6.176	6.58792076324443e-10	5.34064999566479e-08	0.0344	0.0213	0.0268	0.0268	TRUE	NA
FBgn0038198	46	19	8	75	198	117	23	30	11	105	101	143	68.92	21	116	5.374	2.426	6.157	7.39227581322349e-10	5.9356454648845e-08	0.0819	0.0813	0.0814	0.0814	TRUE	NA
FBgn0051363	11796	3226	3168	6651	23066	7898	5941	5042	4514	9302	11762	9680	7707.02	5166	10248	1.99	0.993	6.048	1.47020389181074e-09	1.11669270377084e-07	0.0259	0.0167	0.0193	0.0193	TRUE	NA
