Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4997	5277	31	34	85	4539	6862	6547	3016.24	50	5983	123.05	6.943	24.545	4.87720942180649e-133	4.31413559405893e-129	0.0936	0.0281	0.0466	0.0466	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.49	351	2919	8.337	3.06	21.761	5.47388772601534e-105	3.22795159203124e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.13	46	1350	28.719	4.844	21.376	2.23022559372753e-101	9.86373024465842e-98	0.0133	0.0353	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2451	2073	77	118	116	1333	3366	2572	1263.64	104	2424	22.191	4.472	20.256	3.17512817464389e-91	1.1234238507525e-87	0.0287	0.0311	0.0298	0.0298	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1066	274	153	144	2813	1574	1322	1046.52	190	1903	9.96	3.316	19.401	7.62890303621495e-84	1.9280417659097e-80	0.0063	0.0321	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1125	1369	75	217	190	659	1545	1698	730.73	161	1301	8.231	3.041	17.833	3.91426229081476e-71	6.9247214186804e-68	0.0031	0.0348	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1445	1093	172	141	128	2371	1984	1356	1025.43	147	1904	12.888	3.688	16.893	5.02434623152453e-64	6.83736224476157e-61	0.028	0.0323	0.03	0.03	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.57	667	3442	5.176	2.372	14.293	2.40257357479453e-46	1.93199677780409e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.66	412	2825	6.896	2.786	14.258	4.02330506756052e-46	3.09462130218318e-43	0.0224	0.0299	0.0259	0.0259	TRUE	NA
FBtr0301487	818	500	372	4779	3392	3782	423	749	524	2440	4658	4692	2247.77	565	3930	6.77	2.759	14.051	7.59267061542648e-45	5.59674732739625e-42	0.0247	0.0288	0.0267	0.0267	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.37	110	828	7.571	2.92	13.719	7.82120461554875e-43	4.94160467334546e-40	0.0092	0.0398	0.027	0.027	TRUE	NA
FBtr0342814	677	213	248	2927	1631	1739	350	319	349	1495	2240	2157	1151.76	339	1964	5.665	2.502	12.713	5.03763032814309e-37	2.78502244172436e-34	0.0213	0.0316	0.0261	0.0261	TRUE	NA
FBtr0081619	132	39	60	945	391	516	68	58	85	483	537	640	311.82	70	553	7.768	2.958	12.501	7.34447763644321e-36	3.93730769291869e-33	0.0137	0.0468	0.0318	0.0318	TRUE	NA
FBtr0347567	196	93	160	3728	1160	1340	101	139	225	1904	1593	1662	937.53	155	1720	11.457	3.518	11.957	6.0036766016125e-33	2.87056872321964e-30	0.0909	0.0329	0.0585	0.0585	TRUE	NA
FBtr0076772	948	252	301	3104	1007	1183	491	377	424	1585	1383	1468	954.6	431	1479	3.437	1.781	11.811	3.40480385308492e-32	1.58511539381383e-29	0.0013	0.0327	0.0147	0.0147	TRUE	NA
FBtr0077644	1140	650	596	3773	1967	2209	590	974	840	1927	2701	2740	1628.58	801	2456	3.089	1.627	11.421	3.28819695606316e-30	1.41881688657837e-27	0.0025	0.0299	0.0137	0.0137	TRUE	NA
FBtr0472696	181	98	77	1067	587	912	94	147	108	545	806	1131	471.88	116	827	6.923	2.791	11.316	1.08745620070921e-29	4.47399712715036e-27	0.0375	0.0397	0.0387	0.0387	TRUE	NA
FBtr0332202	609	176	176	3058	697	748	315	264	248	1562	957	928	712.24	276	1149	4.098	2.035	11.305	1.23566212464444e-29	4.96820423797381e-27	0.0097	0.0351	0.0207	0.0207	TRUE	NA
FBtr0080263	221	50	45	1679	1226	1528	114	75	63	857	1684	1896	781.54	84	1479	16.911	4.08	11.196	4.27061693360606e-29	1.67892187049833e-26	0.1638	0.0343	0.0889	0.0889	TRUE	NA
FBtr0085155	990	343	432	2901	1315	1530	512	514	609	1481	1806	1898	1136.66	545	1728	3.152	1.656	10.614	2.55934240361034e-26	8.87790714946482e-24	0.0047	0.0317	0.0162	0.0162	TRUE	NA
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.61	46	491	10.757	3.427	10.465	1.24825943027658e-25	4.16659577000433e-23	0.0879	0.0502	0.0641	0.0641	TRUE	NA
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.91	62	499	7.957	2.992	10.397	2.56986190522197e-25	8.41915314171887e-23	0.0504	0.0491	0.0497	0.0497	TRUE	NA
