Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4680	4084	697	183	220	7585	7010	5753	356	251	273	3538.04	6783	293	0.043	-4.537	-27.673	1.48164268340721e-168	2.6211740712157e-164	0.0098	0.0278	0.0175	0.0175	TRUE	NA
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.41	1366	88	0.063	-3.983	-19.49	1.32196338968638e-84	3.89780905449029e-81	0.0129	0.0349	0.0235	0.0235	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.2	1163	49	0.043	-4.55	-19.246	1.53022276269994e-82	3.38389636186558e-79	0.0132	0.0367	0.0295	0.0295	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.43	1224	53	0.042	-4.563	-19.044	7.30962852831009e-81	1.43682931438149e-77	0.0256	0.0361	0.0313	0.0313	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52483	70241	83927	9159	13775	15049	40772.5	68884	12661	0.183	-2.452	-17.287	5.88188701338361e-67	9.4596784685245e-64	0.0071	0.0261	0.0145	0.0145	TRUE	NA
FBtr0074337	2035	1505	1138	148	85	70	1053	2254	1603	76	117	87	864.93	1637	93	0.059	-4.091	-16.9	4.47898778230793e-64	6.60314773806747e-61	0.0401	0.0335	0.0366	0.0366	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2925	2871	340	216	206	1552.43	2851	254	0.087	-3.515	-16.533	2.12531022938254e-61	2.6856330905719e-58	0.0304	0.0301	0.0303	0.0303	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1836	1388	340	181	211	1191.63	2139	244	0.116	-3.107	-16.081	3.482422346887e-58	4.10716891591853e-55	0.0179	0.0314	0.0241	0.0241	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.49	615	50	0.081	-3.623	-16.043	6.3725853785668e-58	7.04608799576408e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2709	2390	1327	534	573	3798	4058	3367	678	733	711	2223.95	3741	707	0.189	-2.405	-15.927	4.08576326561189e-57	4.25183752540823e-54	0.0061	0.0289	0.0155	0.0155	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2085	1622	1466	404	264	249	1015.02	1724	306	0.176	-2.51	-15.882	8.42979348343591e-57	8.28508202863693e-54	0.0043	0.0323	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.66	447	26	0.058	-4.103	-14.998	7.52276504892573e-51	7.00448613055501e-48	0	0.0535	0.034	0.034	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.1	1028	164	0.157	-2.667	-14.876	4.70475089150519e-50	4.01275882027047e-47	0	0.0369	0.0196	0.0196	TRUE	NA
FBtr0302694	3011	1194	1189	564	253	314	1558	1788	1675	288	347	390	1007.76	1674	342	0.203	-2.303	-14.875	4.76332232353625e-50	4.01275882027047e-47	0.0032	0.0324	0.0155	0.0155	TRUE	NA
FBtr0310637	676	488	516	74	44	34	350	731	727	38	60	42	324.67	603	47	0.082	-3.609	-13.988	1.84089172063245e-44	1.30268861718835e-41	0.0252	0.046	0.0368	0.0368	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208	384	32	0.081	-3.627	-13.903	6.10330981313961e-44	4.15283284247126e-41	0	0.0572	0.032	0.032	TRUE	NA
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.62	836	81	0.095	-3.403	-13.885	7.8318567940487e-44	5.1316066127228e-41	0.0318	0.0401	0.0363	0.0363	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5797	4848	5405	64	44	187	2724.4	5350	98	0.018	-5.809	-13.125	2.35638542509853e-39	1.43747636397993e-36	0.3267	0.0283	0.1358	0.1358	TRUE	NA
FBtr0089484	1395	441	447	213	51	49	722	661	630	109	70	61	375.29	671	80	0.118	-3.086	-12.884	5.50562109451027e-38	3.2466647594327e-35	0	0.0433	0.0338	0.0338	TRUE	NA
FBtr0290019	6546	2254	2494	1907	616	815	3388	3376	3513	974	846	1011	2184.63	3426	944	0.276	-1.859	-12.828	1.14255800730171e-37	6.52032055070147e-35	0.0047	0.0289	0.0144	0.0144	TRUE	NA
FBtr0072956	13495	5764	5087	1100	962	906	6984	8633	7166	562	1321	1124	4298.33	7594	1002	0.125	-3.005	-12.463	1.18863532740276e-35	6.18474928737714e-33	0.0559	0.0274	0.0413	0.0413	TRUE	NA
FBtr0078144	10951	3766	2397	1164	483	449	5667	5641	3377	594	663	557	2749.91	4895	605	0.124	-3.01	-12.431	1.77182669901676e-35	8.95582460923014e-33	0.0547	0.0283	0.0412	0.0412	TRUE	NA
FBtr0332260	1986	872	972	561	304	315	1028	1306	1369	286	417	391	799.64	1234	365	0.294	-1.768	-12.015	2.95822039648588e-33	1.45371880650644e-30	6e-04	0.0341	0.0138	0.0138	TRUE	NA
FBtr0074916	835	373	574	112	42	38	432	559	809	57	58	47	326.9	600	54	0.093	-3.422	-11.649	2.32801813884214e-31	1.05602484344247e-28	0.0592	0.0459	0.0522	0.0522	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1178	1317	1511	251	404	351	835.42	1335	335	0.247	-2.017	-11.429	2.9844863747548e-30	1.31996371139468e-27	0.0102	0.0337	0.0205	0.0205	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	899	1002	865	222	218	174	563.26	922	205	0.222	-2.17	-11.345	7.85259663430229e-30	3.30762588232004e-27	0.0106	0.0375	0.0232	0.0232	TRUE	NA
FBtr0335024	11505	3314	2192	1655	561	471	5954	4964	3088	845	770	584	2700.92	4669	733	0.159	-2.654	-11.167	5.90321592471369e-29	2.2702998461763e-26	0.0517	0.0283	0.0398	0.0398	TRUE	NA
FBtr0083967	853	252	289	129	52	65	441	377	407	66	71	81	240.65	408	73	0.176	-2.507	-11.113	1.08939895860157e-28	4.10054403757881e-26	0.0063	0.053	0.0283	0.0283	TRUE	NA
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.36	274	33	0.117	-3.093	-11.039	2.47516001702896e-28	9.12251163776237e-26	0	0.0684	0.0393	0.0393	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1531	1153	1303	477	294	328	847.67	1329	366	0.273	-1.875	-11.009	3.43971893533552e-28	1.24187893234736e-25	0.0081	0.0336	0.019	0.019	TRUE	NA
FBtr0085156	1670	905	986	223	29	44	864	1356	1389	114	40	55	636.17	1203	70	0.055	-4.189	-10.705	9.64853742426343e-27	3.41384551145289e-24	0.1962	0.0362	0.1019	0.1019	TRUE	NA
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.45	182	10	0.06	-4.062	-10.538	5.75639310228227e-26	1.95839135331684e-23	0.0161	0.0935	0.0597	0.0597	TRUE	NA
FBtr0334328	4054	1306	1560	879	484	483	2098	1956	2197	449	665	599	1327.4	2084	571	0.27	-1.889	-10.3	7.06999127239688e-25	2.27409482909042e-22	0.0169	0.0308	0.0231	0.0231	TRUE	NA
FBtr0072864	3477	897	1004	1324	385	448	1799	1344	1414	676	529	556	1052.98	1519	587	0.387	-1.37	-9.956	2.38035486595954e-23	7.26049274718795e-21	2e-04	0.0321	0.0123	0.0123	TRUE	NA
FBtr0087295	2017	574	676	724	217	235	1044	860	952	370	298	292	635.85	952	320	0.335	-1.576	-9.957	2.34417624760163e-23	7.26049274718795e-21	0	0.0362	0.0158	0.0158	TRUE	NA
FBtr0073423	3319	583	819	387	113	51	1718	873	1154	198	155	63	693.44	1248	139	0.11	-3.184	-9.938	2.85736233586215e-23	8.42493284728955e-21	0.1206	0.0353	0.0691	0.0691	TRUE	NA
FBtr0071934	2632	870	1155	680	347	348	1362	1303	1627	347	477	432	924.62	1431	419	0.29	-1.787	-9.925	3.25374919323987e-23	9.43640606190272e-21	0.0131	0.033	0.0218	0.0218	TRUE	NA
FBtr0112878	1457	182	199	153	38	41	754	273	280	78	52	51	248.02	436	60	0.149	-2.748	-9.867	5.78755527150175e-23	1.62520063981171e-20	0.037	0.0522	0.0445	0.0445	TRUE	NA
FBtr0112851	2172	620	628	735	213	187	1124	929	885	375	293	232	639.53	979	300	0.304	-1.717	-9.639	5.48030717235094e-22	1.49157098747785e-19	0.0064	0.0361	0.0204	0.0204	TRUE	NA
FBtr0344980	3769	1764	1589	1402	539	520	1951	2642	2238	716	740	645	1488.71	2277	700	0.31	-1.691	-9.625	6.24335229101094e-22	1.67350220273143e-19	0.0143	0.0303	0.0213	0.0213	TRUE	NA
FBtr0302938	672	245	279	175	49	55	348	367	393	89	67	68	222.11	369	75	0.205	-2.289	-9.623	6.38130677202147e-22	1.68495071796764e-19	0.0117	0.0553	0.0325	0.0325	TRUE	NA
FBtr0334867	2134	498	661	115	48	111	1104	746	931	59	66	138	507.3	927	88	0.092	-3.44	-9.597	8.25784264821054e-22	2.11723904767381e-19	0.1527	0.0388	0.0861	0.0861	TRUE	NA
FBtr0077234	5787	2197	2095	2058	925	1043	2995	3291	2951	1051	1270	1294	2141.98	3079	1205	0.389	-1.361	-9.585	9.20235660215459e-22	2.32569843783881e-19	0.0045	0.029	0.0139	0.0139	TRUE	NA
FBtr0089963	1929	493	465	457	165	170	998	738	655	233	227	211	510.44	797	224	0.283	-1.823	-9.477	2.61312034468362e-21	6.42065444691637e-19	0.0116	0.0387	0.0236	0.0236	TRUE	NA
FBtr0333020	3063	1107	1432	1020	403	351	1585	1658	2017	521	553	435	1128.37	1753	503	0.288	-1.796	-9.473	2.71967406864665e-21	6.59092519841478e-19	0.0185	0.0317	0.0246	0.0246	TRUE	NA
FBtr0100375	843	511	550	253	96	101	436	765	775	129	132	125	393.79	659	129	0.204	-2.294	-9.393	5.80651925088048e-21	1.38815043334225e-18	0.0344	0.0425	0.0383	0.0383	TRUE	NA
FBtr0333662	1167	526	369	279	70	85	604	788	520	142	96	105	375.94	637	114	0.179	-2.478	-9.292	1.51084298751038e-20	3.52027802352897e-18	0.0488	0.0433	0.0458	0.0458	TRUE	NA
FBtr0089361	1070	395	364	354	105	126	554	592	513	181	144	156	356.57	553	160	0.291	-1.781	-9.076	1.13054519823072e-19	2.50005938773746e-17	0	0.0442	0.0235	0.0235	TRUE	NA
FBtr0337056	1895	422	300	302	94	91	981	632	423	154	129	113	405.26	679	132	0.201	-2.318	-8.989	2.49067769818113e-19	5.4398245874719e-17	0.0436	0.042	0.0428	0.0428	TRUE	NA
FBtr0336616	936	502	401	267	133	125	484	752	565	136	183	155	379.21	600	158	0.265	-1.917	-8.975	2.82102178106807e-19	6.01285497938255e-17	0.0166	0.0431	0.0288	0.0288	TRUE	NA
FBtr0344554	450	60	65	15	5	4	233	90	92	8	7	5	72.3	138	7	0.047	-4.411	-8.968	3.0303767836438e-19	6.38218996183839e-17	0.0499	0.116	0.087	0.087	TRUE	NA
FBtr0080565	3579	732	977	1258	301	371	1852	1096	1376	642	413	460	973.48	1441	505	0.351	-1.51	-8.872	7.20654373572726e-19	1.49989370857354e-16	0.0093	0.0326	0.0193	0.0193	TRUE	NA
FBtr0073339	2093	489	685	675	197	192	1083	732	965	345	271	238	605.66	927	285	0.306	-1.709	-8.86	7.96841829519861e-19	1.63917776814371e-16	0.014	0.0367	0.0242	0.0242	TRUE	NA
FBtr0303384	3045	1221	589	552	125	122	1576	1829	830	282	172	151	806.55	1412	202	0.139	-2.85	-8.838	9.73876924447854e-19	1.98032835292034e-16	0.1092	0.034	0.0717	0.0717	TRUE	NA
FBtr0306556	753	192	245	208	57	63	390	288	345	106	78	78	214.17	341	87	0.257	-1.962	-8.823	1.11753702451457e-18	2.22138735962778e-16	0.0038	0.0563	0.028	0.028	TRUE	NA
FBtr0307289	1257	577	579	209	185	131	651	864	816	107	254	163	475.61	777	175	0.215	-2.215	-8.784	1.58241793345982e-18	3.11050618453751e-16	0.045	0.0396	0.0422	0.0422	TRUE	NA
FBtr0330118	573	169	182	148	37	48	297	253	256	76	51	60	165.33	269	62	0.231	-2.114	-8.768	1.82501134794369e-18	3.54794239082108e-16	0	0.0653	0.0314	0.0314	TRUE	NA
FBtr0082139	749	168	148	94	30	41	388	252	208	48	41	51	164.63	283	47	0.167	-2.58	-8.764	1.88911677581583e-18	3.63264835662586e-16	0.0323	0.0655	0.049	0.049	TRUE	NA
FBtr0071240	288	93	117	41	10	15	149	139	165	21	14	19	84.41	151	18	0.12	-3.064	-8.699	3.35906297726829e-18	6.38980463772617e-16	0	0.1031	0.0583	0.0583	TRUE	NA
FBtr0087307	1934	837	913	707	302	247	1001	1254	1286	361	415	306	770.47	1180	361	0.308	-1.698	-8.678	4.04032434774788e-18	7.60397638680933e-16	0.0179	0.0344	0.0257	0.0257	TRUE	NA
FBtr0080838	2191	714	503	467	182	189	1134	1069	709	238	250	234	605.8	971	241	0.249	-2.005	-8.654	4.98719099247494e-18	9.19045790082022e-16	0.0351	0.0367	0.0359	0.0359	TRUE	NA
FBtr0087390	1565	481	607	602	195	219	810	720	855	307	268	272	538.72	795	282	0.355	-1.493	-8.632	6.02212993256633e-18	1.09832474883537e-15	0.0049	0.038	0.019	0.019	TRUE	NA
FBtr0085735	202	73	73	7	6	4	105	109	103	4	8	5	55.58	106	6	0.049	-4.352	-8.616	6.95518290083863e-18	1.25555245610955e-15	0	0.1432	0.0873	0.0873	TRUE	NA
FBtr0306917	38996	16464	20467	16882	8751	10132	20182	24660	28831	8621	12017	12570	17813.36	24558	11069	0.449	-1.157	-8.614	7.03395970777823e-18	1.25694728475055e-15	0.0049	0.0263	0.0129	0.0129	TRUE	NA
FBtr0113113	1036	244	293	234	89	93	536	365	413	119	122	115	278.57	438	119	0.272	-1.878	-8.581	9.44152544668377e-18	1.67030026677283e-15	0.0119	0.0493	0.0288	0.0288	TRUE	NA
