Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342811	14657	4680	4084	697	183	220	8589	7898	6444	410	284	305	3988.26	7644	333	0.043	-4.529	4.5371466737247e-108	4.06233427431941e-104	0.0218	0.0255
FBtr0084549	2490	751	893	81	37	54	1459	1267	1409	48	57	75	719.24	1378	60	0.043	-4.551	1.28846505340562e-67	4.61450874226687e-64	0.0323	0.0343
FBtr0300190	2405	797	746	111	24	47	1409	1345	1177	65	37	65	683.18	1310	56	0.043	-4.54	5.45907154100914e-67	1.62925990141418e-63	0.0324	0.0351
FBtr0100457	3087	886	832	236	55	53	1809	1495	1313	139	85	74	819.08	1539	99	0.064	-3.976	7.3516278370031e-64	1.88065142396021e-60	0.0281	0.0323
FBtr0074337	2035	1505	1138	148	85	70	1192	2540	1796	87	132	97	973.98	1843	105	0.059	-4.08	7.74824173057998e-59	1.54164182966106e-55	0.0329	0.0302
FBtr0077645	5327	1953	2038	666	157	166	3122	3296	3216	391	243	230	1749.73	3211	288	0.088	-3.505	1.82497809593627e-56	2.7233235636609e-53	0.0275	0.0257
FBtr0111030	6171	1226	985	666	132	170	3616	2069	1554	391	205	236	1345.22	2413	277	0.117	-3.098	2.3607137000589e-49	3.25179232515037e-46	0.0253	0.0272
FBtr0073421	11202	3237	3837	126	32	151	6564	5463	6054	74	50	209	3069.08	6027	111	0.018	-5.802	7.10449988111955e-42	7.48354584536517e-39	0.0847	0.0249
FBtr0075753	7338	2709	2390	1327	534	573	4300	4572	3771	780	828	795	2507.61	4214	801	0.19	-2.396	9.19324769517554e-40	9.14574924875047e-37	0.0208	0.0248
FBtr0078144	10951	3766	2397	1164	483	449	6417	6356	3782	684	749	623	3101.81	5518	685	0.125	-3.002	2.55350286439143e-39	2.40660925224513e-36	0.0317	0.0249
FBtr0089348	4028	1083	1041	791	192	201	2360	1828	1643	465	298	279	1145.35	1944	347	0.176	-2.503	9.2576568142255e-38	8.2888430286168e-35	0.0229	0.0285
FBtr0072956	13495	5764	5087	1100	962	906	7908	9728	8027	647	1492	1257	4842.83	8554	1132	0.125	-2.997	1.03322247282844e-37	8.81043562901855e-35	0.0329	0.0263
FBtr0070985	1416	399	365	105	37	37	830	673	576	62	57	51	374.91	693	57	0.082	-3.606	1.28109814401088e-37	1.04275565749104e-34	0.0402	0.0476
FBtr0113470	1730	560	550	123	76	61	1014	945	868	72	118	85	516.9	942	92	0.095	-3.391	5.0088919159528e-37	3.73725948079029e-34	0.0382	0.0402
FBtr0085755	767	320	331	46	14	28	449	540	522	27	22	39	266.56	504	29	0.059	-4.091	5.8735399124321e-36	4.04528766199699e-33	0.0504	0.0573
FBtr0072393	1894	668	784	266	128	145	1110	1127	1237	156	198	201	671.7	1158	185	0.159	-2.656	6.08047749465652e-34	3.88868251774337e-31	0.0279	0.0354
FBtr0310637	676	488	516	74	44	34	396	824	814	43	68	47	365.46	678	53	0.083	-3.599	7.863527236455e-34	4.85559249045516e-31	0.0455	0.0485
FBtr0302694	3011	1194	1189	564	253	314	1764	2015	1876	332	392	436	1135.81	1885	387	0.204	-2.294	3.82857320435809e-33	2.28527534568134e-30	0.0226	0.0286
FBtr0335024	11505	3314	2192	1655	561	471	6742	5593	3459	973	870	653	3048.22	5265	832	0.16	-2.646	1.80760804019895e-32	1.01152616174508e-29	0.0311	0.0249
FBtr0071835	712	282	257	51	25	28	417	476	406	30	39	39	234.37	433	36	0.082	-3.609	2.50044167029511e-30	1.31692379382278e-27	0.049	0.0613
FBtr0089484	1395	441	447	213	51	49	817	744	705	125	79	68	423.21	755	91	0.118	-3.079	4.08692506482154e-30	2.09098763245026e-27	0.04	0.0447
FBtr0085156	1670	905	986	223	29	44	979	1527	1556	131	45	61	716.46	1354	79	0.056	-4.16	1.01900684913021e-28	5.06870990204853e-26	0.0707	0.0344
FBtr0074916	835	373	574	112	42	38	489	629	906	66	65	53	368.02	675	61	0.094	-3.41	9.14780170611079e-28	4.42728878787367e-25	0.0522	0.0483
FBtr0073423	3319	583	819	387	113	51	1945	984	1292	227	175	71	782.42	1407	158	0.111	-3.173	2.27760794476475e-27	1.04577244786929e-24	0.0493	0.033
FBtr0290019	6546	2254	2494	1907	616	815	3836	3804	3935	1121	955	1130	2463.58	3858	1069	0.277	-1.852	5.7613464756001e-26	2.45639122234693e-23	0.0203	0.0248
FBtr0085094	101410	46896	59580	17936	10031	12131	59425	79144	94008	10543	15555	16825	45916.68	77526	14308	0.184	-2.444	3.75556625178025e-25	1.56397499699137e-22	0.036	0.0456
FBtr0334867	2134	498	661	115	48	111	1251	840	1043	68	74	154	571.65	1045	99	0.093	-3.434	4.66670074126932e-25	1.89924114031613e-22	0.0607	0.0382
FBtr0299968	2277	879	1073	492	294	283	1334	1483	1693	289	456	393	941.4	1503	379	0.249	-2.008	1.19702916904216e-23	4.46566694375792e-21	0.0253	0.0306
FBtr0072087	1737	669	614	434	159	140	1018	1129	969	255	247	194	635.26	1039	232	0.223	-2.162	1.5561549656454e-22	5.6869524428188e-20	0.03	0.0363
FBtr0334282	323	123	139	24	5	10	189	208	219	14	8	14	108.65	205	12	0.061	-4.046	1.80622678827643e-22	6.34198099954237e-20	0.075	0.0872
FBtr0303384	3045	1221	589	552	125	122	1784	2061	929	324	194	169	910.3	1591	229	0.14	-2.839	6.45685603615045e-22	2.18156454791219e-19	0.0522	0.031
FBtr0334328	4054	1306	1560	879	484	483	2376	2204	2461	517	751	670	1496.37	2347	646	0.272	-1.88	8.67289562721518e-22	2.87602855549152e-19	0.0248	0.0265
FBtr0112532	266	48	85	11	1	1	156	81	134	6	2	1	63.4	124	3	0.028	-5.157	1.43903072369989e-21	4.60155770880249e-19	0.0968	0.0979
FBtr0308065	2958	770	925	935	214	264	1733	1299	1460	550	332	366	956.66	1497	416	0.274	-1.868	3.32811846671826e-21	1.04555469093902e-18	0.0247	0.0304
FBtr0344554	450	60	65	15	5	4	264	101	103	9	8	6	81.61	156	8	0.048	-4.382	7.42690056335894e-21	2.29299152393222e-18	0.08	0.0936
FBtr0085735	202	73	73	7	6	4	118	123	115	4	9	6	62.62	119	6	0.05	-4.316	1.38753729561178e-20	4.14110505875335e-18	0.0783	0.0982
FBtr0076459	537	186	188	51	25	31	315	314	297	30	39	43	172.83	309	37	0.119	-3.074	1.95478298159049e-20	5.73840964776082e-18	0.0568	0.0715
FBtr0332260	1986	872	972	561	304	315	1164	1472	1534	330	471	437	901.19	1390	413	0.296	-1.758	5.33015659502902e-20	1.53946958301911e-17	0.0235	0.0311
FBtr0073269	6532	1621	1471	2434	291	365	3828	2736	2321	1431	451	506	1878.76	2962	796	0.239	-2.066	1.20064693784192e-19	3.4126959866564e-17	0.033	0.0254
FBtr0344981	3763	509	490	273	116	118	2205	859	773	160	180	164	723.54	1279	168	0.147	-2.769	1.87403913871619e-19	5.2435029464048e-17	0.0542	0.0341
FBtr0071934	2632	870	1155	680	347	348	1542	1468	1822	400	538	483	1042.24	1611	474	0.292	-1.778	2.54174752576672e-19	7.00231891444686e-17	0.0252	0.0295
FBtr0112878	1457	182	199	153	38	41	854	307	314	90	59	57	280.11	492	69	0.15	-2.732	5.19291123565862e-19	1.3476733550281e-16	0.0508	0.0554
FBtr0333020	3063	1107	1432	1020	403	351	1795	1868	2259	600	625	487	1272.31	1974	571	0.29	-1.787	5.18285893387095e-19	1.3476733550281e-16	0.0261	0.0276
FBtr0344980	3769	1764	1589	1402	539	520	2209	2977	2507	824	836	721	1678.99	2564	794	0.312	-1.683	9.6307853653574e-19	2.4636924791065e-16	0.0239	0.0259
FBtr0083967	853	252	289	129	52	65	500	425	456	76	81	90	271.29	460	82	0.178	-2.492	1.82325950607697e-18	4.59846591201694e-16	0.046	0.0567
FBtr0333662	1167	526	369	279	70	85	684	888	582	164	109	118	424.04	718	130	0.181	-2.47	1.87693110642731e-18	4.66808407261024e-16	0.0472	0.0447
FBtr0337056	1895	422	300	302	94	91	1110	712	473	178	146	126	457.58	765	150	0.202	-2.309	7.15158672896633e-18	1.73058734534595e-15	0.0429	0.0428
FBtr0307289	1257	577	579	209	185	131	737	974	914	123	287	182	535.89	875	197	0.217	-2.205	8.44876621040481e-18	2.01722742039625e-15	0.0404	0.0396
FBtr0100375	843	511	550	253	96	101	494	862	868	149	149	140	443.64	741	146	0.205	-2.286	9.10048546030054e-18	2.14424201496844e-15	0.0425	0.0437
FBtr0088774	6302	3417	3043	2674	1023	1022	3693	5767	4801	1572	1586	1417	3139.43	4754	1525	0.325	-1.619	2.19981578145685e-17	5.1158572985127e-15	0.0244	0.0249
FBtr0080838	2191	714	503	467	182	189	1284	1205	794	274	282	262	683.57	1094	273	0.251	-1.997	2.65108089499597e-17	6.0862699470119e-15	0.035	0.035
FBtr0290077	1482	795	772	228	237	282	868	1342	1218	134	368	391	720.14	1143	298	0.239	-2.066	3.89123363408991e-17	8.82029375767696e-15	0.0375	0.0343
FBtr0330730	2611	1787	1709	979	494	381	1530	3016	2697	575	766	528	1518.72	2414	623	0.269	-1.896	6.30079865350844e-17	1.4103550186047e-14	0.0334	0.0264
FBtr0081958	118	26	37	3	3	1	69	44	58	2	5	1	29.87	57	3	0.042	-4.579	1.72974650536443e-16	3.77738666726351e-14	0.0826	0.0894
FBtr0077409	1633	576	600	160	144	195	957	972	947	94	223	270	577.25	959	196	0.187	-2.416	3.45896677753875e-16	7.46261663679353e-14	0.0525	0.0381
FBtr0308254	6184	1033	736	1051	322	287	3624	1743	1161	618	499	398	1340.59	2176	505	0.252	-1.987	5.38082616044011e-16	1.13358181241178e-13	0.0383	0.0272
