Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0112994	60	23	60	8888	4997	5277	35	39	95	5224	7749	7319	3410.11	56	6764	123.674	6.95	1.32797439208055e-136	2.37800374389865e-132	0.0306	0.0251
FBtr0337020	105	24	35	2749	1051	969	62	41	55	1616	1630	1344	791.14	53	1530	28.903	4.853	1.27922919940315e-81	7.63571909123743e-78	0.0288	0.0328
FBtr0342806	149	79	82	2611	2451	2073	87	133	129	1535	3801	2875	1426.77	116	2737	22.299	4.479	2.66352666091393e-79	1.19239429792465e-75	0.0281	0.0268
FBtr0073426	549	268	262	4784	2222	2631	322	452	413	2812	3446	3649	1849.01	396	3302	8.379	3.067	8.25473331085284e-62	1.84771886746802e-58	0.0199	0.0255
FBtr0340240	529	102	102	5508	1146	1066	310	172	161	3238	1777	1478	1189.37	214	2164	10.012	3.324	3.91940023622025e-58	7.0184700029996e-55	0.0235	0.0282
FBtr0342810	333	94	91	4643	1445	1093	195	159	144	2729	2241	1516	1163.86	166	2162	12.966	3.697	1.4237095048741e-57	2.31766964579823e-54	0.0287	0.0284
FBtr0301964	145	145	135	1290	1125	1369	85	245	213	758	1745	1899	824.03	181	1467	8.267	3.047	2.41498637590275e-46	3.08894007380646e-43	0.0256	0.0323
FBtr0087258	963	265	242	5327	2285	2110	564	447	382	3131	3543	2926	1832.39	464	3200	6.934	2.794	2.53772375599737e-43	3.02953461990966e-40	0.0247	0.0255
FBtr0301487	818	500	372	4779	3392	3782	479	844	587	2809	5260	5245	2537.43	637	4438	6.805	2.767	1.38689437846821e-42	1.55219485220189e-39	0.0251	0.0248
FBtr0089349	1500	393	451	6426	2612	2788	879	663	712	3777	4050	3867	2324.7	751	3898	5.208	2.381	1.39685282850214e-37	1.08754102608642e-34	0.0217	0.0249
FBtr0347567	196	93	160	3728	1160	1340	115	157	252	2191	1799	1859	1062.14	175	1950	11.535	3.528	7.03650438725475e-37	5.04010736250283e-34	0.0427	0.0293
FBtr0342814	677	213	248	2927	1631	1739	397	359	391	1720	2529	2412	1301.51	382	2220	5.697	2.51	5.60267861225068e-34	3.71582095961381e-31	0.026	0.0275
FBtr0080263	221	50	45	1679	1226	1528	130	84	71	987	1901	2119	882.03	95	1669	16.798	4.07	4.86570673478607e-33	2.81065195160691e-30	0.0593	0.0314
FBtr0305073	191	92	67	1608	583	696	112	155	106	945	904	965	531.24	124	938	7.599	2.926	2.13857158503944e-32	1.16046670828186e-29	0.0343	0.0396
FBtr0472696	181	98	77	1067	587	912	106	165	121	627	910	1265	532.55	131	934	6.952	2.798	1.91245114330446e-27	9.01217437451395e-25	0.0383	0.0396
FBtr0089581	538	391	334	4771	1933	1811	315	660	527	2804	2997	2512	1635.96	501	2771	5.771	2.529	8.62907870367162e-27	3.86302280866619e-24	0.0342	0.026
FBtr0081619	132	39	60	945	391	516	77	66	95	555	606	716	352.55	79	626	7.817	2.967	4.25780363827243e-26	1.85962170123279e-23	0.0435	0.0492
FBtr0346714	149	13	13	1173	452	513	87	22	21	689	701	712	371.94	43	701	18.715	4.226	9.74352139930637e-25	3.87727194883065e-22	0.0817	0.0478
FBtr0088136	74	21	49	1084	309	399	43	35	77	637	479	553	304.31	52	556	10.808	3.434	2.18589115974587e-24	8.50929412990638e-22	0.0597	0.0532
FBtr0075699	733	89	205	3655	1245	1463	430	150	323	2148	1931	2029	1168.55	301	2036	6.99	2.805	2.39234138532763e-24	9.11482067809827e-22	0.0456	0.0283
FBtr0081614	153	41	33	875	333	479	90	69	52	514	516	664	317.66	70	565	7.995	2.999	1.59530768190288e-22	5.71343493196699e-20	0.0518	0.052
FBtr0332202	609	176	176	3058	697	748	357	297	278	1797	1081	1037	807.89	311	1305	4.114	2.04	2.683917120041e-22	9.24248151318736e-20	0.0272	0.0325
FBtr0076772	948	252	301	3104	1007	1183	556	425	475	1824	1562	1641	1080.42	485	1676	3.459	1.79	9.95062194774928e-22	3.23974158578811e-19	0.0223	0.0291
FBtr0077644	1140	650	596	3773	1967	2209	668	1097	940	2218	3050	3064	1839.52	902	2777	3.105	1.635	1.35374378648776e-20	4.10872711604005e-18	0.0204	0.0255
FBtr0072635	123	48	34	665	381	334	72	81	54	391	591	463	275.28	69	482	6.846	2.775	2.84727324976275e-19	7.72517001265176e-17	0.0535	0.0562
FBtr0085155	990	343	432	2901	1315	1530	580	579	682	1705	2039	2122	1284.5	614	1955	3.172	1.665	3.45863719881617e-19	9.24385318197031e-17	0.0225	0.0276
FBtr0076454	1477	468	652	4493	1668	2060	866	790	1029	2641	2587	2857	1794.78	895	2695	3.012	1.591	3.47904464505427e-18	8.53414417246395e-16	0.0222	0.0256
FBtr0113386	19	6	5	229	84	71	11	10	8	135	130	98	65.41	10	121	12.288	3.619	7.22902770010165e-17	1.59815060525581e-14	0.0767	0.0976
FBtr0301884	751	510	441	2290	1357	1600	440	861	696	1346	2104	2219	1277.68	666	1890	2.87	1.521	5.02800782565653e-16	1.07186352540514e-13	0.0232	0.0276
FBtr0078841	28	10	12	309	92	104	16	17	19	182	143	144	86.79	17	156	9.065	3.18	8.90189450379964e-16	1.81143437363114e-13	0.0718	0.0926
FBtr0301143	300	145	190	1244	536	686	176	245	300	731	831	951	539.02	240	838	3.553	1.829	1.2848245286901e-15	2.52828053134655e-13	0.0327	0.0394
FBtr0301850	170	60	36	1089	263	263	100	101	57	640	408	365	278.4	86	471	5.405	2.434	1.36066524422236e-15	2.64841657916194e-13	0.0533	0.0557
FBtr0342813	191	137	117	1371	485	532	112	231	185	806	752	738	470.59	176	765	4.541	2.183	1.49291838425516e-15	2.87459026955453e-13	0.0452	0.0422
FBtr0072506	837	509	535	4188	1428	1689	490	859	844	2462	2214	2343	1535.37	731	2340	3.303	1.724	4.94391564326595e-15	8.69082393667217e-13	0.0315	0.0264
FBtr0332478	60	17	29	289	275	213	35	29	46	170	426	295	166.89	37	297	7.491	2.905	9.93338456777603e-15	1.71035689860736e-12	0.0758	0.0728
FBtr0344560	129	81	99	452	394	534	76	137	156	266	611	741	330.96	123	539	4.202	2.071	1.20797620599198e-14	2.06011713530462e-12	0.0432	0.0511
FBtr0302034	146	69	58	1395	288	294	86	116	92	820	447	408	327.97	98	558	5.524	2.466	1.2845027284476e-14	2.16996135455767e-12	0.0587	0.051
FBtr0332406	191	919	751	637	2528	2334	112	1551	1185	374	3920	3237	1729.93	949	2510	2.825	1.498	3.10672276844387e-14	5.01189951482202e-12	0.0255	0.0258
FBtr0302291	7097	2315	2578	17634	7581	7047	4159	3907	4068	10365	11756	9774	7338.01	4045	10632	2.628	1.394	3.44877960645683e-14	5.51404432257343e-12	0.0233	0.0288
FBtr0077247	887	203	220	2401	619	756	520	343	347	1411	960	1049	771.53	403	1140	2.841	1.506	3.76656418131e-14	5.92936453366851e-12	0.0254	0.0332
FBtr0306087	263	43	48	827	322	372	154	73	76	486	499	516	300.63	101	500	5.155	2.366	3.79999969811542e-14	5.92936453366851e-12	0.0567	0.0535
