Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.718	0.000000	0.000
FBtr0300738	2350	2168.324	0.160165	3.067
FBtr0300739	2172	1990.324	0.266881	4.691
FBtr0300737	2184	2002.324	0.248475	4.394
FBtr0300736	2338	2156.324	0.168690	3.212
FBtr0078628	2467	2285.324	0.146410	2.955
FBtr0300740	2479	2297.324	0.139800	2.836
FBtr0078627	2301	2119.324	0.215640	4.036
FBtr0300741	2313	2131.324	0.203234	3.825
FBtr0072762	889	707.530	71.320022	445.624
FBtr0346821	1270	1088.324	4.047365	38.899
FBtr0331460	900	718.527	2.477612	15.721
FBtr0303848	5005	4823.324	8.304899	353.747
FBtr0086122	1465	1283.324	0.617660	7.000
FBtr0335147	3125	2943.324	2.213869	57.544
FBtr0081459	3019	2837.324	18.906005	473.719
FBtr0305321	6523	6341.324	1.273025	71.290
FBtr0083716	5665	5483.324	18.022439	872.710
FBtr0078184	1305	1123.324	0.604831	6.000
FBtr0081691	765	583.613	0.000000	0.000
FBtr0085263	1228	1046.324	0.000000	0.000
FBtr0086342	492	310.731	0.000000	0.000
FBtr0086343	495	313.729	0.000000	0.000
FBtr0091847	1023	841.324	1.424293	10.582
FBtr0072393	1393	1211.324	13.586380	145.337
FBtr0343502	867	685.543	0.770216	4.663
FBtr0343753	3569	3387.324	4.058342	121.400
FBtr0433525	3725	3543.324	0.164747	5.155
FBtr0113895	961	779.492	24.710882	170.103
FBtr0345179	887	705.531	46.528097	289.897
FBtr0334135	4703	4521.324	0.280156	11.186
FBtr0334137	4561	4379.324	0.444971	17.209
FBtr0334141	5321	5139.324	0.200384	9.095
FBtr0334139	4203	4021.324	0.500857	17.787
FBtr0334140	5704	5522.324	0.165404	8.066
FBtr0344148	4894	4712.324	0.263114	10.949
FBtr0334142	5071	4889.324	0.216252	9.337
FBtr0334138	5563	5381.324	0.176729	8.399
FBtr0334136	3862	3680.324	1.014490	32.972
FBtr0085105	995	813.460	9.465858	68.000
FBtr0346720	2745	2563.324	0.000000	0.000
FBtr0076089	442	260.771	0.000000	0.000
FBtr0087500	1417	1235.324	11.458211	125.000
FBtr0073094	1694	1512.324	6.595698	88.088
FBtr0073093	1577	1395.324	76.683842	944.912
FBtr0343515	1092	910.324	0.180734	1.453
FBtr0072451	975	793.474	10.210492	71.547
FBtr0071607	2252	2070.324	3.336408	61.000
FBtr0081516	4704	4522.324	0.150237	6.000
FBtr0300749	931	749.521	1.877227	12.425
FBtr0346532	1185	1003.324	0.502896	4.456
FBtr0073076	880	698.533	62.268143	384.119
FBtr0089289	4677	4495.324	0.849326	33.717
FBtr0100448	4590	4408.324	1.166560	45.414
FBtr0089290	4681	4499.324	1.094854	43.503
FBtr0089288	4037	3855.324	9.797265	333.563
FBtr0100447	4417	4235.324	1.511663	56.540
FBtr0329933	4663	4481.324	1.148876	45.467
FBtr0336949	2826	2644.324	22.558791	526.796
FBtr0088786	1378	1196.324	82.015027	866.472
FBtr0088785	1869	1687.324	11.649186	173.583
FBtr0303077	607	425.686	0.000000	0.000
FBtr0339716	615	433.681	0.057865	0.222
FBtr0085459	600	418.689	82.699538	305.778
FBtr0070973	1218	1036.324	1.201946	11.000
FBtr0089252	2767	2585.324	2.363898	53.970
FBtr0334488	2840	2658.324	2.150151	50.476
FBtr0334489	2902	2720.324	0.814865	19.576
FBtr0100600	3804	3622.324	3.274524	104.749
FBtr0300305	309	127.870	0.000000	0.000
FBtr0077162	567	385.696	0.000000	0.000
FBtr0072277	713	531.636	55.592218	261.000
FBtr0344898	1082	900.324	0.000000	0.000
FBtr0086817	1175	993.324	0.000000	0.000
FBtr0333271	5146	4964.324	0.643992	28.233
FBtr0072639	5149	4967.324	0.587399	25.767
FBtr0340000	824	642.582	1.158418	6.574
FBtr0087390	427	245.788	101.091749	219.426
FBtr0070472	3021	2839.324	2.842865	71.283
FBtr0331752	4499	4317.324	14.964383	570.540
FBtr0070475	3174	2992.324	7.303783	193.005
FBtr0070474	3218	3036.324	0.538139	14.430
FBtr0302185	2166	1984.324	1.752300	30.707
FBtr0070471	4805	4623.324	10.096049	412.210
FBtr0112828	2903	2721.324	4.755641	114.288
FBtr0301966	3182	3000.324	0.948835	25.140
FBtr0070468	3055	2873.324	9.318881	236.462
FBtr0070476	2745	2563.324	0.381944	8.646
FBtr0070470	3110	2928.324	1.440816	37.260
FBtr0331751	4750	4568.324	1.312086	52.934
FBtr0070469	4244	4062.324	12.932908	463.963
FBtr0070467	2929	2747.324	0.486419	11.801
FBtr0331753	5004	4822.324	1.105608	47.084
FBtr0070466	2847	2665.324	1.575934	37.094
FBtr0070473	3091	2909.324	1.640768	42.155
FBtr0076265	1575	1393.324	56.076985	690.000
FBtr0331935	1030	848.324	0.148403	1.112
FBtr0088237	816	634.586	101.870351	570.888
FBtr0081705	1363	1181.324	0.000000	0.000
FBtr0088524	1299	1117.324	86.144492	850.000
FBtr0074540	843	661.575	24.305070	142.000
FBtr0074494	1357	1175.324	0.385381	4.000
FBtr0085714	3349	3167.324	116.297281	3252.928
FBtr0085713	3440	3258.324	852.982145	24544.072
FBtr0076256	334	152.857	2.963202	4.000
FBtr0339552	1718	1536.324	10.159807	137.842
FBtr0078950	1533	1351.324	27.750055	331.158
FBtr0070990	1321	1139.324	1.300995	13.090
FBtr0100409	805	623.593	0.413898	2.279
FBtr0343330	706	524.640	108.704793	503.643
FBtr0304902	1617	1435.324	0.424922	5.386
FBtr0304901	2286	2104.324	0.248283	4.614
FBtr0078872	1228	1046.324	0.108223	1.000
FBtr0077839	2112	1930.324	9.068569	154.590
FBtr0077837	2331	2149.324	2.733412	51.882
FBtr0077838	2235	2053.324	3.398682	61.628
FBtr0077836	2325	2143.324	25.407037	480.899
FBtr0075133	4018	3836.324	0.405486	13.737
FBtr0332862	2190	2008.324	3.679751	65.263
FBtr0087988	1754	1572.324	172.504649	2395.274
FBtr0087987	1948	1766.324	474.638569	7403.648
FBtr0074688	1633	1451.324	52.587581	674.000
FBtr0086864	3503	3321.324	13.603456	399.000
FBtr0083361	1283	1101.324	0.000000	0.000
FBtr0392904	4164	3982.324	9.137174	321.337
FBtr0084588	2385	2203.324	99.164244	1929.505
FBtr0303161	2639	2457.324	12.045736	261.402
FBtr0079257	1918	1736.324	16.238886	249.000
FBtr0307341	906	724.527	0.000274	0.002
FBtr0084989	527	345.705	0.000188	0.001
FBtr0306309	750	568.616	0.782122	3.927
FBtr0344570	539	357.699	0.022981	0.073
FBtr0078090	1219	1037.324	33.949524	311.000
FBtr0087439	546	364.699	25.460494	82.000
FBtr0070960	2096	1914.324	0.128512	2.173
FBtr0302357	2296	2114.324	0.104996	1.960
FBtr0302356	2428	2246.324	0.094308	1.871
FBtr0340571	3830	3648.324	0.015519	0.500
FBtr0340572	3825	3643.324	0.015540	0.500
FBtr0080267	3305	3123.324	0.000000	0.000
FBtr0077141	787	605.602	0.000000	0.000
FBtr0306593	981	799.467	0.000000	0.000
FBtr0081719	1938	1756.324	80.205360	1244.000
FBtr0071549	1655	1473.324	34.816700	453.000
