Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.476	0	0
FBgn0267873	257	86.593	0	0
FBgn0267896	719	548.326	0.001091	0.005
FBgn0260225	1197	1026	0.05791	0.497
FBgn0040928	1085	914.003	2.74658	21
FBgn0262789	532	361.406	0	0
FBgn0058461	391	220.515	1.18566	2.187
FBgn0042701	620	449.375	1.69696	6.379
FBgn0263493	352	181.54	0.00028	0
FBgn0265917	359	188.537	0	0
FBgn0262163	610	439.382	0	0
FBgn0085831	237	66.607	0	0
FBgn0267108	321	150.553	4.3162	5.436
FBgn0051032	770	599.3	8.77664	44
FBgn0266102	391	220.515	0.005056	0.009
FBgn0053867	526	355.412	0.819793	2.437
FBgn0267026	323	152.552	0	0
FBgn0267519	2689	2518	2112.23	44491.6
FBgn0058005	1227	1056	0.536602	4.74
FBgn0039979	803	632.285	6.99158	36.98
FBgn0053318	523	352.416	0.678414	2
FBgn0053805	440	269.466	0.006566	0.015
FBgn0267419	780	609.296	0	0
FBgn0267892	760	589.306	0.000275	0.001
FBgn0267902	582	411.388	0.000228	0.001
FBgn0262964	777	606.297	0.197167	1
FBgn0085790	1041	870.003	0.151261	1.101
FBgn0267879	601	430.383	0.000236	0.001
FBgn0085291	1130	959.003	0.102319	0.821
FBgn0263093	1190.95	1019.95	16.9379	144.516
FBgn0267952	1290	1119	0.106829	1
FBgn0030117	636	465.355	0.046055	0.179
FBgn0058182	291	120.568	1.02275	1.032
FBgn0052518	75	25.696	0	0
FBgn0027934	1345	1174	0	0
FBgn0085340	423	252.476	0	0
FBgn0263744	845	674.255	0.177295	1
FBgn0263210	221	50.642	3.60007	1.525
FBtr0346869	123	47.729	24.9195	9.949
FBgn0267427	697	526.334	0	0
FBgn0263975	1131	960.003	2.49045	20
FBgn0267869	420	249.479	0.000494	0.001
FBgn0037560	962.886	792.076	49.2006	326
FBgn0263212	220	49.648	0	0
FBgn0085732	1466.78	1295.79	57.1784	619.792
FBgn0267593	610	439.382	0	0
FBgn0058100	394	223.511	4.30296	8.045
FBgn0264888	465	294.453	0.405979	1
FBgn0037143	1446	1275	0	0
FBgn0262510	501	330.431	2.67689	7.399
FBgn0263771	276	105.581	0	0
FBgn0053315	421	250.478	0	0
FBgn0050029	480	309.443	0	0
FBgn0085791	1041	870.003	0.133121	0.969
FBgn0085804	252	81.596	0	0
FBgn0267876	766	595.304	0.000276	0.001
FBgn0267494	656	485.345	0	0
FBgn0085792	1211	1040	1.92197	16.721
FBgn0053013	2636	2465	0	0
FBgn0266211	1668	1497	0.958249	12
FBgn0265141	1303	1132	0	0
FBgn0051292	441.498	270.967	0.020033	0.046
FBgn0053294	1972.66	1801.66	2.32228	35
FBgn0000280	166	11.961	0	0
FBgn0262885	102	38.882	0	0
FBgn0011812	456	285.458	0	0
FBgn0265533	402.055	231.549	0.00042	0.001
FBgn0052496	778	607.297	2.00617	10.192
FBgn0052009	2998.75	2827.76	0.510192	12.068
FBtr0347033	1076	905.003	0	0
FBgn0262688	493	322.439	0.370742	1
FBgn0053222	541.117	370.519	2.16964	6.724
FBgn0266940	581	410.388	0	0
FBgn0262565	802	631.285	0	0
FBgn0263002	361	190.535	0	0
FBgn0084049	531	360.407	15.3937	46.411
FBgn0263211	352	181.54	1.47471	2.24
FBgn0267872	775	604.298	0.000552	0.003
FBgn0262031	330	159.549	31.0625	41.458
FBgn0267014	274	103.582	4.66515	4.042
FBgn0039987	184	20.074	0	0
FBgn0261640	810	639.281	0.564127	3.017
FBgn0052761	71	24.115	0	0
FBgn0267863	274	103.582	0	0
FBgn0052034	74	25.271	0	0
FBgn0262795	735	564.316	0	0
FBgn0261856	450	279.461	0.427758	1
FBgn0051485	73	24.867	0	0
FBgn0267610	864	693.234	0	0
FBgn0262851	1188	1017	5.79229	49.278
FBgn0053416	143	39.329	0	0
FBgn0267520	357	186.539	2.83096	4.418
FBgn0085765	30	10.837	0	0
FBgn0267424	659	488.343	0	0
FBgn0030116	1305	1134	0	0
FBgn0031135	363	192.534	0.620886	1
FBgn0263213	224	53.63	0	0
FBgn0267878	266	95.588	0	0
FBgn0058441	177	16.295	0	0
FBgn0267864	485	314.445	0	0
FBgn0085500	687	516.336	0.000264	0.001
FBgn0085784	479	308.448	0.001874	0.005
FBgn0262848	1188	1017	16.0812	136.811
FBgn0063924	307	136.557	0.000562	0.001
FBgn0262616	554	383.397	0.311796	1
FBgn0267891	718	547.326	0.000814	0.004
FBgn0053491	369	198.533	9.90504	16.45
FBgn0050374	600	429.383	0.278404	1
FBtr0347034	740	569.312	0	0
FBgn0267898	414	243.485	0.000466	0.001
FBgn0260469	924.037	753.261	0.419433	2.643
FBgn0267874	253	82.595	0	0
FBgn0030243	4726.95	4555.95	37.7026	1436.91
FBgn0032269	1867	1696	0	0
FBgn0266369	2930	2759	17.0712	394
FBgn0032596	775.689	604.987	150.962	764
