Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.848	0	0
FBgn0267873	257	83.97	0	0
FBgn0267896	719	545.682	0.002016	0.008
FBgn0260225	1197	1023.4	0	0
FBgn0040928	1085	911.398	2.99631	21
FBgn0262789	532	358.77	0.36246	1
FBgn0058461	391	217.884	0.820925	1.375
FBgn0042701	620	446.736	0.756744	2.6
FBgn0263493	352	178.909	0.00052	0.001
FBgn0265917	359	185.906	0	0
FBgn0262163	610	436.746	0	0
FBgn0085831	237	63.995	0	0
FBgn0267108	321	147.921	12.8404	14.606
FBgn0051032	770	596.662	12.4229	57
FBgn0266102	391	217.884	2.97587	4.986
FBgn0053867	526	352.774	0.020102	0.055
FBgn0267026	323	149.921	0	0
FBgn0267519	2689	2515.4	2390.89	46247.8
FBgn0058005	1227	1053.4	0.196566	1.592
FBgn0039979	803	629.64	8.20202	39.713
FBgn0053318	523	349.776	1.17455	3.159
FBgn0053805	440	266.832	0.851125	1.746
FBgn0267419	780	606.657	0	0
FBgn0267892	760	586.665	0	0
FBgn0267902	582	408.754	0.000275	0.001
FBgn0262964	777	603.658	0.861677	4
FBgn0085790	1041	867.398	0.202543	1.351
FBgn0267879	601	427.749	0.000576	0.002
FBgn0085291	1130	956.398	0.251623	1.851
FBgn0263093	1186.68	1013.07	34.4555	268.426
FBgn0267952	1290	1116.4	0	0
FBgn0030117	636	462.713	0.035279	0.126
FBgn0058182	291	117.941	0	0
FBgn0052518	75	25.562	5.08717	1
FBgn0027934	1345	1171.4	0	0
FBgn0085340	423	249.848	0	0
FBgn0263744	845	671.61	0.193624	1
FBgn0263210	221	48.15	5.26065	1.948
FBtr0346869	123	48.484	19.0431	7.1
FBgn0267427	697	523.694	0	0
FBgn0263975	1131	957.398	2.71652	20
FBgn0267869	420	246.851	0.00065	0.001
FBgn0037560	966.3	792.853	46.7442	285
FBgn0263212	220	47.189	0	0
FBgn0085732	1475.6	1302	68.931	690.161
FBgn0267593	610	436.746	0	0
FBgn0058100	394	220.881	7.61485	12.934
FBgn0264888	465	291.817	0	0
FBgn0037143	1446	1272.4	0	0
FBgn0262510	501	327.789	2.12471	5.356
FBgn0263771	276	102.952	0	0
FBgn0053315	421	247.85	0.524672	1
FBgn0050029	480	306.813	0	0
FBgn0085791	1041	867.398	0.165492	1.104
FBgn0085804	252	78.975	0	0
FBgn0267876	766	592.662	0	0
FBgn0267494	656	482.702	0	0
FBgn0085792	1211	1037.4	3.20982	25.607
FBgn0053013	2636	2462.4	0	0
FBgn0266211	1668	1494.4	1.9144	22
FBgn0265141	1303	1129.4	0	0
FBgn0051292	435.524	262.364	0.018915	0.038
FBgn0053294	1991.38	1817.77	1.43076	20
FBgn0000280	166	13.088	19.8715	2
FBgn0262885	102	39.842	0	0
FBgn0011812	456	282.821	0.459794	1
FBgn0265533	384.5	211.38	0	0
FBgn0052496	778	604.658	1.62351	7.549
FBgn0052009	2997.49	2823.89	0.581669	12.632
FBtr0347033	1076	902.398	0	0
FBgn0262688	493	319.795	0.406634	1
FBgn0053222	544.032	370.799	0.097013	0.276
FBgn0266940	581	407.755	0	0
FBgn0262565	802	628.642	1.02798	4.969
FBgn0263002	361	187.905	0	0
FBgn0084049	531	357.77	19.6779	54.139
FBgn0263211	352	178.909	0.001277	0.002
FBgn0267872	775	601.66	0.001013	0.005
FBgn0262031	330	156.918	39.8181	48.048
FBgn0267014	274	100.954	14.4472	11.216
FBgn0039987	184	20.399	0	0
FBgn0261640	810	636.634	0.402309	1.97
FBgn0052761	71	23.771	0	0
FBgn0267863	274	100.954	0	0
FBgn0052034	74	25.065	0	0
FBgn0262795	735	561.677	0	0
FBgn0261856	450	276.826	0.939506	2
FBgn0051485	73	24.606	0	0
