Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.673	0.000000	0.000
FBtr0300738	2350	2172.173	0.182647	2.668
FBtr0300739	2172	1994.173	0.305499	4.097
FBtr0300737	2184	2006.173	0.215842	2.912
FBtr0300736	2338	2160.173	0.245729	3.570
FBtr0078628	2467	2289.173	0.256931	3.955
FBtr0300740	2479	2301.173	0.193522	2.995
FBtr0078627	2301	2123.173	0.317212	4.529
FBtr0300741	2313	2135.173	0.227976	3.274
FBtr0072762	889	711.455	61.066216	292.175
FBtr0346821	1270	1092.173	4.215580	30.963
FBtr0331460	900	722.453	2.117578	10.288
FBtr0303848	5005	4827.173	7.686801	249.536
FBtr0086122	1465	1287.173	0.462092	4.000
FBtr0335147	3125	2947.173	2.862736	56.739
FBtr0081459	3019	2841.173	21.774377	416.043
FBtr0305321	6523	6345.173	1.220742	52.091
FBtr0083716	5665	5487.173	21.189101	781.909
FBtr0078184	1305	1127.173	0.131921	1.000
FBtr0081691	765	587.541	0.000000	0.000
FBtr0085263	1228	1050.173	0.000000	0.000
FBtr0086342	492	314.688	0.000000	0.000
FBtr0086343	495	317.683	0.000000	0.000
FBtr0091847	1023	845.173	1.962199	11.153
FBtr0072393	1393	1215.173	81.763751	668.181
FBtr0343502	867	689.464	0.592134	2.746
FBtr0343753	3569	3391.173	3.162749	72.129
FBtr0433525	3725	3547.173	0.249681	5.956
FBtr0113895	961	783.419	14.494821	76.366
FBtr0345179	887	709.455	66.364745	316.634
FBtr0334135	4703	4525.173	0.327651	9.971
FBtr0334137	4561	4383.173	0.992477	29.255
FBtr0334141	5321	5143.173	0.225505	7.800
FBtr0334139	4203	4025.173	0.523657	14.175
FBtr0334140	5704	5526.173	0.202868	7.539
FBtr0344148	4894	4716.173	0.287174	9.108
FBtr0334142	5071	4893.173	0.257839	8.485
FBtr0334138	5563	5385.173	0.201229	7.288
FBtr0334136	3862	3684.173	1.153953	28.591
FBtr0085105	995	817.387	3.274537	18.000
FBtr0346720	2745	2567.173	0.000000	0.000
FBtr0076089	442	264.732	0.000000	0.000
FBtr0087500	1417	1239.173	12.359766	103.000
FBtr0073094	1694	1516.173	12.956453	132.108
FBtr0073093	1577	1399.173	82.352081	774.892
FBtr0343515	1092	914.173	0.889369	5.468
FBtr0072451	975	797.403	11.847362	63.532
FBtr0071607	2252	2074.173	2.724229	38.000
FBtr0081516	4704	4526.173	0.197117	6.000
FBtr0300749	931	753.446	2.660548	13.481
FBtr0346532	1185	1007.173	0.179963	1.219
FBtr0073076	880	702.457	75.210826	355.300
FBtr0089289	4677	4499.173	1.164631	35.238
FBtr0100448	4590	4412.173	2.709180	80.387
FBtr0089290	4681	4503.173	1.735683	52.563
FBtr0089288	4037	3859.173	12.973357	336.699
FBtr0100447	4417	4239.173	2.116837	60.348
FBtr0329933	4663	4485.173	1.838629	55.459
FBtr0336949	2826	2648.173	21.410750	381.306
FBtr0088786	1378	1200.173	80.390157	648.846
FBtr0088785	1869	1691.173	14.324129	162.911
FBtr0303077	607	429.624	0.000000	0.000
FBtr0339716	615	437.620	0.084003	0.247
FBtr0085459	600	422.626	66.411346	188.753
FBtr0070973	1218	1040.173	0.285910	2.000
FBtr0089252	2767	2589.173	3.018134	52.553
FBtr0334488	2840	2662.173	1.505518	26.954
FBtr0334489	2902	2724.173	1.927819	35.318
FBtr0100600	3804	3626.173	2.959699	72.176
FBtr0300305	309	131.841	0.000000	0.000
FBtr0077162	567	389.639	0.000000	0.000
FBtr0072277	713	535.563	56.640178	204.000
FBtr0344898	1082	904.173	0.000000	0.000
FBtr0086817	1175	997.173	0.000000	0.000
FBtr0333271	5146	4968.173	0.537209	17.949
FBtr0072639	5149	4971.173	0.553724	18.512
FBtr0340000	824	646.498	1.521531	6.615
FBtr0087390	427	249.745	286.615750	481.385
FBtr0070472	3021	2843.173	2.959747	56.592
FBtr0331752	4499	4321.173	26.894879	781.567
FBtr0070475	3174	2996.173	6.897406	138.979
FBtr0070474	3218	3040.173	1.067655	21.829
FBtr0302185	2166	1988.173	1.428829	19.104
FBtr0070471	4805	4627.173	11.847104	368.657
FBtr0112828	2903	2725.173	7.748014	141.997
FBtr0301966	3182	3004.173	1.233202	24.915
FBtr0070468	3055	2877.173	10.080670	195.052
FBtr0070476	2745	2567.173	0.706255	12.193
FBtr0070470	3110	2932.173	1.667210	32.876
FBtr0331751	4750	4572.173	0.855935	26.318
FBtr0070469	4244	4066.173	16.777245	458.777
FBtr0070467	2929	2751.173	0.453699	8.394
FBtr0331753	5004	4826.173	1.300756	42.218
FBtr0070466	2847	2669.173	2.602922	46.723
FBtr0070473	3091	2913.173	2.068113	40.517
FBtr0076265	1575	1397.173	55.555125	521.999
FBtr0331935	1030	852.173	0.196950	1.129
FBtr0088237	816	638.500	89.165550	382.871
FBtr0081705	1363	1185.173	0.000000	0.000
FBtr0088524	1299	1121.173	74.403813	561.000
FBtr0074540	843	665.482	23.454350	104.968
FBtr0074494	1357	1179.173	0.378311	3.000
FBtr0085714	3349	3171.173	130.905345	2791.723
FBtr0085713	3440	3262.173	1157.574872	25395.170
FBtr0076256	334	156.828	1.896323	2.000
FBtr0339552	1718	1540.173	11.723574	121.430
FBtr0078950	1533	1355.173	30.566463	278.570
FBtr0070990	1321	1143.173	1.189679	9.146
FBtr0100409	805	627.513	0.748509	3.159
FBtr0343330	706	528.565	97.533681	346.695
FBtr0304902	1617	1439.173	0.171579	1.661
FBtr0304901	2286	2108.173	0.023937	0.339
FBtr0078872	1228	1050.173	0.000000	0.000
FBtr0077839	2112	1934.173	8.346447	108.566
FBtr0077837	2331	2153.173	2.779215	40.244
FBtr0077838	2235	2057.173	9.299543	128.655
FBtr0077836	2325	2147.173	16.588539	239.536
FBtr0075133	4018	3840.173	0.457953	11.827
FBtr0332862	2190	2012.173	7.181021	97.173
FBtr0087988	1754	1576.173	162.624149	1723.788
FBtr0087987	1948	1770.173	349.377862	4159.165
