Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.792	0	0
FBgn0267873	257	75.919	0	0
FBgn0267896	719	537.634	0.000253	0.001
FBgn0260225	1197	1015.32	0.02986	0.268
FBgn0040928	1085	903.324	3.63532	29
FBgn0262789	532	350.702	0.645772	2
FBgn0058461	391	209.831	0.643035	1.192
FBgn0042701	620	438.677	0.30175	1.169
FBgn0263493	352	170.852	0.000212	0
FBgn0265917	359	177.849	0	0
FBgn0262163	610	428.683	0.26415	1
FBgn0085831	237	56.007	0	0
FBgn0267108	321	139.865	0.000538	0.001
FBgn0051032	770	588.612	13.4666	70
FBgn0266102	391	209.831	2.28254	4.23
FBgn0053867	526	344.706	0.016137	0.049
FBgn0267026	323	141.864	0.000128	0
FBgn0267519	2689	2507.32	1853.05	41030.8
FBgn0058005	1227	1045.32	0.100366	0.927
FBgn0039979	803	621.595	7.7757	42.683
FBgn0053318	523	341.708	0.331385	1
FBgn0053805	440	258.773	0.003957	0.009
FBgn0267419	780	598.606	0	0
FBgn0267892	760	578.614	0.00026	0.001
FBgn0267902	582	400.691	0	0
FBgn0262964	777	595.607	0.19012	1
FBgn0085790	1041	859.324	0.486006	3.688
FBgn0267879	601	419.689	0	0
FBgn0085291	1130	948.324	0.081194	0.68
FBgn0263093	1194.62	1012.94	29.7655	266.261
FBgn0267952	1290	1108.32	0	0
FBgn0030117	636	454.659	0.067873	0.273
FBgn0058182	291	109.883	0	0
FBgn0052518	75	26	0	0
FBgn0027934	1345	1163.32	0	0
FBgn0085340	423	241.792	0	0
FBgn0263744	845	663.574	0	0
FBgn0263210	221	41.399	0	0
FBtr0346869	123	49.933	2.67577	1.18
FBgn0267427	697	515.641	0	0
FBgn0263975	1131	949.324	2.50491	21
FBgn0267869	420	238.796	0.000321	0.001
FBgn0037560	964.068	782.559	46.1595	319
FBgn0263212	220	40.584	0	0
FBgn0085732	1474.53	1292.85	80.6216	920.476
FBgn0267593	610	428.683	0	0
FBgn0058100	394	212.828	5.17064	9.718
FBgn0264888	465	283.755	0	0
FBgn0037143	1446	1264.32	0.089563	1
FBgn0262510	501	319.725	1.71705	4.848
FBgn0263771	276	94.9	0	0
FBgn0053315	421	239.794	0	0
FBgn0050029	480	298.752	0	0
FBgn0085791	1041	859.324	0.036006	0.273
FBgn0085804	252	70.926	0	0
FBgn0267876	766	584.613	0.00026	0.001
FBgn0267494	656	474.647	0	0
FBgn0085792	1211	1029.32	1.42811	12.982
FBgn0053013	2636	2454.32	0	0
FBgn0266211	1668	1486.32	1.75227	23
FBgn0265141	1303	1121.32	0	0
FBgn0051292	440.609	259.383	0.018744	0.043
FBgn0053294	1989.74	1808.07	2.69303	43
FBgn0000280	166	13.264	0	0
FBgn0262885	102	39.727	0	0
FBgn0011812	456	274.759	0	0
FBgn0265533	384.5	203.324	0	0
FBgn0052496	778	596.607	1.7351	9.142
FBgn0052009	2998.19	2816.51	0.817135	20.324
FBtr0347033	1076	894.324	0	0
FBgn0262688	493	311.73	0	0
FBgn0053222	541.068	359.767	3.18061	10.106
FBgn0266940	581	399.692	0	0
FBgn0262565	802	620.595	0.182465	1
FBgn0263002	361	179.849	0	0
FBgn0084049	531	349.702	15.9568	49.278
FBgn0263211	352	170.852	0.000931	0.001
FBgn0267872	775	593.608	0.000261	0.001
FBgn0262031	330	148.86	39.8829	52.43
FBgn0267014	274	92.903	7.49881	6.152
FBgn0039987	184	16.586	0	0
FBgn0261640	810	628.59	0.619353	3.438
FBgn0052761	71	24.098	0	0
FBgn0267863	274	92.903	0	0
FBgn0052034	74	25.515	0	0
FBgn0262795	735	553.627	0	0
FBgn0261856	450	268.763	0.007022	0.017
FBgn0051485	73	25.018	0	0
FBgn0267610	864	682.545	0	0
FBgn0262851	1188	1006.32	9.1829	81.608
FBgn0053416	143	54.705	0	0
FBgn0267520	357	175.85	1.60279	2.489
FBgn0085765	30	11.12	0	0
FBgn0267424	659	477.646	0	0
FBgn0030116	1305	1123.32	0	0
FBgn0031135	363	181.848	0	0
FBgn0263213	224	43.915	0	0
FBgn0267878	266	84.911	0	0
FBgn0058441	177	13.609	0	0
FBgn0267864	485	303.737	0.00015	0
FBgn0085500	687	505.644	0	0
FBgn0085784	479	297.744	0.00354	0.009
FBgn0262848	1188	1006.32	9.24285	82.14
