target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	327.382	0	0
FBtr0300738	2350	2168.38	0	0
FBtr0300739	2172	1990.38	27.9824	1.68716
FBtr0300737	2184	2002.38	0.0176366	0.001057
FBtr0300736	2338	2156.38	0	0
FBtr0078628	2467	2285.38	0	0
FBtr0300740	2479	2297.38	0	0
FBtr0078627	2301	2119.38	0	0
FBtr0300741	2313	2131.38	0	0
FBtr0072762	889	707.382	431.178	73.1495
FBtr0346821	1270	1088.38	32.0362	3.53238
FBtr0331460	900	718.382	0	0
FBtr0303848	5005	4823.38	161.132	4.00902
FBtr0086122	1465	1283.38	7	0.654561
FBtr0335147	3125	2943.38	0	0
FBtr0081459	3019	2837.38	509.537	21.5509
FBtr0305321	6523	6341.38	58.7629	1.11206
FBtr0083716	5665	5483.38	818.237	17.9077
FBtr0078184	1305	1123.38	7	0.747788
FBtr0081691	765	583.382	0	0
FBtr0085263	1228	1046.38	0	0
FBtr0086342	492	310.382	0	0
FBtr0086343	495	313.382	0	0
FBtr0091847	1023	841.382	5.41569	0.772447
FBtr0072393	1393	1211.38	134.694	13.3437
FBtr0343502	867	685.382	0	0
FBtr0343753	3569	3387.38	93.566	3.31483
FBtr0433525	3725	3543.38	0	0
FBtr0113895	961	779.382	157.983	24.3258
FBtr0345179	887	705.382	287.017	48.8306
FBtr0334135	4703	4521.38	0	0
FBtr0334137	4561	4379.38	14.5317	0.398211
FBtr0334141	5321	5139.38	0	0
FBtr0334139	4203	4021.38	0	0
FBtr0334140	5704	5522.38	0	0
FBtr0344148	4894	4712.38	0	0
FBtr0334142	5071	4889.38	0	0
FBtr0334138	5563	5381.38	0	0
FBtr0334136	3862	3680.38	94.4683	3.08036
FBtr0085105	995	813.382	64	9.44264
FBtr0346720	2745	2563.38	0	0
FBtr0076089	442	260.395	0	0
FBtr0087500	1417	1235.38	117	11.3656
FBtr0073094	1694	1512.38	83.285	6.60866
FBtr0073093	1577	1395.38	893.715	76.8624
FBtr0343515	1092	910.382	0	0
FBtr0072451	975	793.382	69	10.437
FBtr0071607	2252	2070.38	59	3.41987
FBtr0081516	4704	4522.38	6	0.159218
FBtr0300749	931	749.382	18.489	2.96087
FBtr0346532	1185	1003.38	3.28978	0.393467
FBtr0073076	880	698.382	362.221	62.2428
FBtr0089289	4677	4495.38	12.5314	0.334535
FBtr0100448	4590	4408.38	15.9694	0.434728
FBtr0089290	4681	4499.38	4.23926e-05	1.1307e-06
FBtr0089288	4037	3855.38	400.804	12.4759
FBtr0100447	4417	4235.38	95.1932	2.69725
FBtr0329933	4663	4481.38	0.00175031	4.68719e-05
FBtr0336949	2826	2644.38	500.513	22.7143
FBtr0088786	1378	1196.38	810.371	81.2872
FBtr0088785	1869	1687.38	167.522	11.9143
FBtr0303077	607	425.382	0	0
FBtr0339716	615	433.382	0	0
FBtr0085459	600	418.382	266	76.2986
FBtr0070973	1218	1036.38	11	1.27374
FBtr0089252	2767	2585.38	85.0826	3.94933
FBtr0334488	2840	2658.38	25.713	1.16076
FBtr0334489	2902	2720.38	0	0
FBtr0100600	3804	3622.38	105.204	3.48536
FBtr0300305	309	127.415	0	0
FBtr0077162	567	385.382	0	0
FBtr0072277	713	531.382	249	56.2342
FBtr0344898	1082	900.382	0	0
FBtr0086817	1175	993.382	0	0
FBtr0333271	5146	4964.38	33.1798	0.802078
FBtr0072639	5149	4967.38	15.8202	0.382202
FBtr0340000	824	642.382	6.47257	1.20918
FBtr0087390	427	245.395	206.527	101
FBtr0070472	3021	2839.38	11.3094	0.477996
FBtr0331752	4499	4317.38	645.85	17.9523
FBtr0070475	3174	2992.38	178.136	7.144
FBtr0070474	3218	3036.38	4.04992	0.160066
FBtr0302185	2166	1984.38	26.0662	1.57638
FBtr0070471	4805	4623.38	242.504	6.29459
FBtr0112828	2903	2721.38	105.808	4.66591
FBtr0301966	3182	3000.38	12.6367	0.505435
FBtr0070468	3055	2873.38	430.125	17.9643
FBtr0070476	2745	2563.38	0	0
FBtr0070470	3110	2928.38	0	0
FBtr0331751	4750	4568.38	27.9472	0.734148
FBtr0070469	4244	4062.38	474.536	14.0183
FBtr0070467	2929	2747.38	0	0
FBtr0331753	5004	4822.38	42.1562	1.04908
FBtr0070466	2847	2665.38	0.000255907	1.15221e-05
FBtr0070473	3091	2909.38	0	0
FBtr0076265	1575	1393.38	700	60.2887
FBtr0331935	1030	848.382	0	0
FBtr0088237	816	634.382	518	97.9912
FBtr0081705	1363	1181.38	0	0
FBtr0088524	1299	1117.38	797	85.5982
FBtr0074540	843	661.382	135	24.4957
FBtr0074494	1357	1175.38	4	0.408403
FBtr0085714	3349	3167.38	2781.01	105.368
FBtr0085713	3440	3258.38	23884	879.655
FBtr0076256	334	152.415	2	1.57474
FBtr0339552	1718	1536.38	116.267	9.08164
