Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.787	0.000000	0.000
FBtr0300738	2350	2176.398	0.185184	3.099
FBtr0300739	2172	1998.398	0.182242	2.801
FBtr0300737	2184	2010.398	0.228887	3.539
FBtr0300736	2338	2164.398	0.151905	2.528
FBtr0078628	2467	2293.398	0.136197	2.402
FBtr0300740	2479	2305.398	0.163431	2.897
FBtr0078627	2301	2127.398	0.159366	2.607
FBtr0300741	2313	2139.398	0.195470	3.216
FBtr0072762	889	715.591	75.683284	416.475
FBtr0346821	1270	1096.398	5.143456	43.366
FBtr0331460	900	726.587	0.331117	1.850
FBtr0303848	5005	4831.398	9.515014	353.514
FBtr0086122	1465	1291.398	0.604181	6.000
FBtr0335147	3125	2951.398	2.517427	57.136
FBtr0081459	3019	2845.398	19.630736	429.540
FBtr0305321	6523	6349.398	1.436081	70.119
FBtr0083716	5665	5491.398	20.267786	855.881
FBtr0078184	1305	1131.398	0.459749	4.000
FBtr0081691	765	591.662	0.108275	0.493
FBtr0085263	1228	1054.398	0.123331	1.000
FBtr0086342	492	318.796	0.000000	0.000
FBtr0086343	495	321.794	0.000000	0.000
FBtr0091847	1023	849.398	1.021111	6.670
FBtr0072393	1393	1219.398	13.628451	127.796
FBtr0343502	867	693.597	0.883020	4.710
FBtr0343753	3569	3395.398	4.015502	104.847
FBtr0433525	3725	3551.398	0.253231	6.916
FBtr0113895	961	787.561	28.400289	172.001
FBtr0345179	887	713.591	58.678779	321.999
FBtr0334135	4703	4529.398	0.290504	10.119
FBtr0334137	4561	4387.398	0.442968	14.945
FBtr0334141	5321	5147.398	0.206136	8.160
FBtr0334139	4203	4029.398	0.459949	14.252
FBtr0334140	5704	5530.398	0.193847	8.244
FBtr0344148	4894	4720.398	0.264590	9.605
FBtr0334142	5071	4897.398	0.228160	8.593
FBtr0334138	5563	5389.398	0.183380	7.600
FBtr0334136	3862	3688.398	1.251607	35.500
FBtr0085105	995	821.525	11.080347	70.000
FBtr0346720	2745	2571.398	0.000000	0.000
FBtr0076089	442	268.829	0.000000	0.000
FBtr0087500	1417	1243.398	12.863843	123.000
FBtr0073094	1694	1520.398	6.572011	76.839
FBtr0073093	1577	1403.398	72.475509	782.161
FBtr0343515	1092	918.398	0.234622	1.657
FBtr0072451	975	801.547	9.140854	56.343
FBtr0071607	2252	2078.398	2.815526	45.000
FBtr0081516	4704	4530.398	0.114815	4.000
FBtr0300749	931	757.577	0.687308	4.004
FBtr0346532	1185	1011.398	0.580447	4.514
FBtr0073076	880	706.592	67.446439	366.481
FBtr0089289	4677	4503.398	3.379167	117.024
FBtr0100448	4590	4416.398	1.552558	52.728
FBtr0089290	4681	4507.398	1.334097	46.242
FBtr0089288	4037	3863.398	7.664806	227.717
FBtr0100447	4417	4243.398	1.397375	45.599
FBtr0329933	4663	4489.398	1.295088	44.711
FBtr0336949	2826	2652.398	21.570989	439.980
FBtr0088786	1378	1204.398	75.282299	697.248
FBtr0088785	1869	1695.398	19.147308	249.634
FBtr0303077	607	433.748	0.000000	0.000
FBtr0339716	615	441.741	0.079866	0.271
FBtr0085459	600	426.750	79.144864	259.729
FBtr0070973	1218	1044.398	0.622558	5.000
FBtr0089252	2767	2593.398	2.428878	48.439
FBtr0334488	2840	2666.398	1.600329	32.814
FBtr0334489	2902	2728.398	1.625736	34.110
FBtr0100600	3804	3630.398	3.354032	93.637
FBtr0300305	309	135.926	0.000000	0.000
FBtr0077162	567	393.759	0.000000	0.000
FBtr0072277	713	539.686	57.828999	240.000
FBtr0344898	1082	908.398	0.000000	0.000
FBtr0086817	1175	1001.398	0.000000	0.000
FBtr0333271	5146	4972.398	0.743330	28.423
FBtr0072639	5149	4975.398	0.931518	35.640
FBtr0340000	824	650.630	1.987590	9.945
FBtr0087390	427	253.843	99.923612	195.055
FBtr0070472	3021	2847.398	2.881236	63.089
FBtr0331752	4499	4325.398	16.739059	556.777
FBtr0070475	3174	3000.398	6.802057	156.943
FBtr0070474	3218	3044.398	1.635403	38.287
FBtr0302185	2166	1992.398	1.431630	21.935
FBtr0070471	4805	4631.398	10.440836	371.853
FBtr0112828	2903	2729.398	4.814212	101.045
FBtr0301966	3182	3008.398	1.375893	31.831
FBtr0070468	3055	2881.398	7.680988	170.194
FBtr0070476	2745	2571.398	0.521958	10.321
FBtr0070470	3110	2936.398	1.833044	41.392
FBtr0331751	4750	4576.398	1.207807	42.506
FBtr0070469	4244	4070.398	12.011919	375.988
FBtr0070467	2929	2755.398	0.599041	12.693
FBtr0331753	5004	4830.398	0.639800	23.766
FBtr0070466	2847	2673.398	2.482585	51.038
FBtr0070473	3091	2917.398	2.615991	58.689
FBtr0076265	1575	1401.398	47.788129	514.998
FBtr0331935	1030	856.398	0.174296	1.148
FBtr0088237	816	642.633	97.909693	483.852
FBtr0081705	1363	1189.398	0.000000	0.000
FBtr0088524	1299	1125.398	87.009085	753.000
FBtr0074540	843	669.610	26.799890	138.000
FBtr0074494	1357	1183.398	0.659320	6.000
FBtr0085714	3349	3175.398	103.550851	2528.576
FBtr0085713	3440	3266.398	866.788294	21772.401
FBtr0076256	334	160.916	1.616239	2.000
FBtr0339552	1718	1544.398	12.332181	146.461
FBtr0078950	1533	1359.398	28.366797	296.539
FBtr0070990	1321	1147.398	1.329372	11.730
FBtr0100409	805	631.639	1.537688	7.469
FBtr0343330	706	532.688	107.129376	438.840
FBtr0304902	1617	1443.398	0.000000	0.000
FBtr0304901	2286	2112.398	0.061560	1.000
FBtr0078872	1228	1054.398	0.000000	0.000
FBtr0077839	2112	1938.398	13.679006	203.902
FBtr0077837	2331	2157.398	3.194112	52.991
FBtr0077838	2235	2061.398	3.692245	58.530
FBtr0077836	2325	2151.398	18.651699	308.577
FBtr0075133	4018	3844.398	0.588405	17.395
FBtr0332862	2190	2016.398	2.102721	32.605
FBtr0087988	1754	1580.398	164.734415	2002.050
FBtr0087987	1948	1774.398	473.926715	6466.755
FBtr0074688	1633	1459.398	52.304631	587.000
FBtr0086864	3503	3329.398	13.318781	341.000
FBtr0083361	1283	1109.398	0.000000	0.000
FBtr0392904	4164	3990.398	10.295307	315.922
FBtr0084588	2385	2211.398	78.453714	1334.150
FBtr0303161	2639	2465.398	17.342551	328.794
FBtr0079257	1918	1744.398	15.207590	204.000
FBtr0307341	906	732.583	0.058528	0.330
FBtr0084989	527	353.773	0.435950	1.186
FBtr0306309	750	576.669	0.032149	0.143
FBtr0344570	539	365.768	2.437990	6.857
FBtr0078090	1219	1045.398	32.839612	264.000
FBtr0087439	546	372.767	21.977554	63.000
FBtr0070960	2096	1922.398	0.069629	1.029
FBtr0302357	2296	2122.398	0.060918	0.994
FBtr0302356	2428	2254.398	0.056322	0.976
FBtr0340571	3830	3656.398	0.017782	0.500
FBtr0340572	3825	3651.398	0.017807	0.500
FBtr0080267	3305	3131.398	0.000000	0.000
FBtr0077141	787	613.656	0.000000	0.000
FBtr0306593	981	807.538	0.000000	0.000
FBtr0081719	1938	1764.398	80.040366	1086.000
FBtr0071549	1655	1481.398	33.357049	380.000
FBtr0308832	1068	894.398	8.112328	55.796
FBtr0308833	2043	1869.398	26.717061	384.074
FBtr0074921	2263	2089.398	8.845901	142.131
FBtr0073011	1996	1822.398	0.071356	1.000
FBtr0112378	450	276.826	0.000000	0.000
FBtr0342602	1596	1422.398	0.234485	2.565
FBtr0080326	1217	1043.398	92.546292	742.563
FBtr0085405	675	501.698	181.439382	700.000
FBtr0339295	331	157.918	0.000000	0.000
FBtr0300316	205	34.196	0.000000	0.000
FBtr0300904	2130	1956.398	0.033249	0.500
FBtr0081633	2196	2022.398	0.032136	0.500
FBtr0300905	2052	1878.398	0.000000	0.000
FBtr0335279	1234	1060.398	0.302827	2.469
FBtr0335281	1199	1025.398	0.355666	2.805
FBtr0290216	733	559.678	0.013658	0.059
FBtr0335280	740	566.674	0.013686	0.060
FBtr0077120	1711	1537.398	18.678716	220.830
FBtr0081676	887	713.591	0.000000	0.000
FBtr0076639	2093	1919.398	0.271001	4.000
FBtr0079280	1148	974.398	0.000000	0.000
FBtr0304827	5797	5623.398	0.080086	3.463
FBtr0433494	6405	6231.398	0.179808	8.616
FBtr0333832	6581	6407.398	0.106218	5.234
FBtr0433497	5654	5480.398	0.155379	6.548
FBtr0333833	6118	5944.398	0.067751	3.097
FBtr0433496	5848	5674.398	0.078956	3.445
FBtr0304826	8410	8236.398	0.080903	5.124
FBtr0433495	8302	8128.398	0.077987	4.875
FBtr0433493	8251	8077.398	0.078765	4.892
FBtr0300808	2019	1845.398	0.000000	0.000
FBtr0300809	4061	3887.398	0.000000	0.000
FBtr0301700	4064	3890.398	0.000000	0.000
FBtr0072287	5108	4934.398	30.359467	1152.000
FBtr0343633	2816	2642.398	5.243665	106.551
FBtr0074281	2640	2466.398	66.056719	1252.865
FBtr0343632	2730	2556.398	2.237864	43.993
FBtr0074279	3898	3724.398	36.422345	1043.153
FBtr0074280	3895	3721.398	3.206885	91.773
FBtr0072238	1035	861.398	0.000000	0.000
FBtr0308073	1317	1143.398	1.358843	11.948
FBtr0082360	764	590.662	87.417782	397.066
FBtr0082361	1024	850.398	0.150754	0.986
FBtr0079938	1428	1254.398	3.110009	30.000
FBtr0077227	1279	1105.398	169.212683	1438.387
FBtr0091702	1278	1104.398	7.254723	61.613
FBtr0074882	2425	2251.398	15.044581	260.469
FBtr0332153	3588	3414.398	2.528915	66.401
FBtr0310476	2042	1868.398	6.912023	99.311
FBtr0100666	2416	2242.398	7.722943	133.174
FBtr0332726	2033	1859.398	4.392215	62.803
FBtr0080287	1089	915.398	14.640660	103.061
FBtr0309307	5887	5713.398	0.035140	1.544
FBtr0300898	5037	4863.398	0.012196	0.456
FBtr0080024	1050	876.398	8.505431	57.322
FBtr0077389	2263	2089.398	93.979164	1510.000
FBtr0290204	1958	1784.398	0.000000	0.000
FBtr0086689	848	674.609	34.225220	177.551
FBtr0306636	1574	1400.398	12.121108	130.532
FBtr0086687	1472	1298.398	14.893351	148.705
FBtr0086690	2195	2021.398	0.703781	10.940
FBtr0086686	1532	1358.398	0.893688	9.335
FBtr0340359	2225	2051.398	0.975439	15.388
FBtr0301148	981	807.538	77.951144	484.072
