Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.426	0.000000	0.000
FBtr0300738	2350	2179.003	0.260943	4.756
FBtr0300739	2172	2001.003	0.409118	6.848
FBtr0300737	2184	2013.003	0.359017	6.046
FBtr0300736	2338	2167.003	0.287417	5.210
FBtr0078628	2467	2296.003	0.234773	4.509
FBtr0300740	2479	2308.003	0.216334	4.177
FBtr0078627	2301	2130.003	0.307510	5.479
FBtr0300741	2313	2142.003	0.277612	4.974
FBtr0072762	889	718.226	68.418390	411.068
FBtr0346821	1270	1099.003	3.791858	34.860
FBtr0331460	900	729.225	0.293016	1.787
FBtr0303848	5005	4834.003	5.046539	204.071
FBtr0086122	1465	1294.003	0.831433	9.000
FBtr0335147	3125	2954.003	2.337195	57.755
FBtr0081459	3019	2848.003	19.326511	460.441
FBtr0305321	6523	6352.003	0.474499	25.213
FBtr0083716	5665	5494.003	14.965282	687.787
FBtr0078184	1305	1134.003	0.316247	3.000
FBtr0081691	765	594.305	0.000000	0.000
FBtr0085263	1228	1057.003	0.339285	3.000
FBtr0086342	492	321.440	0.000000	0.000
FBtr0086343	495	324.437	0.000000	0.000
FBtr0091847	1023	852.003	1.342768	9.570
FBtr0072393	1393	1222.003	76.711158	784.171
FBtr0343502	867	696.233	0.443107	2.581
FBtr0343753	3569	3398.003	3.734431	106.152
FBtr0433525	3725	3554.003	0.254375	7.563
FBtr0113895	961	790.198	22.884310	151.270
FBtr0345179	887	716.226	49.191932	294.730
FBtr0334135	4703	4532.003	0.322390	12.222
FBtr0334137	4561	4390.003	0.751753	27.607
FBtr0334141	5321	5150.003	0.211165	9.097
FBtr0334139	4203	4032.003	0.571417	19.273
FBtr0334140	5704	5533.003	0.174404	8.072
FBtr0344148	4894	4723.003	0.276976	10.943
FBtr0334142	5071	4900.003	0.245179	10.050
FBtr0334138	5563	5392.003	0.186311	8.404
FBtr0334136	3862	3691.003	1.241449	38.331
FBtr0085105	995	824.150	4.206410	29.000
FBtr0346720	2745	2574.003	0.000000	0.000
FBtr0076089	442	271.464	0.000000	0.000
FBtr0087500	1417	1246.003	8.730562	91.000
FBtr0073094	1694	1523.003	5.936121	75.628
FBtr0073093	1577	1406.003	75.446533	887.372
FBtr0343515	1092	921.003	0.240858	1.856
FBtr0072451	975	804.172	8.643278	58.144
FBtr0071607	2252	2081.003	2.929661	51.000
FBtr0081516	4704	4533.003	0.105486	4.000
FBtr0300749	931	760.224	2.529215	16.084
FBtr0346532	1185	1014.003	0.146856	1.246
FBtr0073076	880	709.228	59.948897	355.670
FBtr0089289	4677	4506.003	1.161213	43.771
FBtr0100448	4590	4419.003	1.814750	67.084
FBtr0089290	4681	4510.003	1.155778	43.604
FBtr0089288	4037	3866.003	7.598462	245.736
FBtr0100447	4417	4246.003	1.456455	51.732
FBtr0329933	4663	4492.003	1.212646	45.567
FBtr0336949	2826	2655.003	18.257621	405.499
FBtr0088786	1378	1207.003	68.624841	692.899
FBtr0088785	1869	1698.003	14.740518	209.378
FBtr0303077	607	436.382	0.000000	0.000
FBtr0339716	615	444.379	0.064169	0.239
FBtr0085459	600	429.383	69.812879	250.761
